,Daily average,weekly average,monthly average,long term average,short term average
2019-02-13,-0.0063926943005181355,,,,
2019-02-14,0.015410136157337367,,,,
2019-02-15,-0.019692637711864407,,,,
2019-02-16,-0.006997247191011236,,,,
2019-02-17,0.004255194428322692,,,,
2019-02-18,-0.002240104166666667,,,,
2019-02-19,0.0018914302258251298,-0.013115629677005426,,,-0.013115629677005426
2019-02-20,0.0018914302258251298,-0.00724803123716475,,,-0.00724803123716475
2019-02-21,-0.008302875215641175,-0.00718192239052525,,,-0.00718192239052525
2019-02-22,-0.011607826576576578,-0.0050451840653622185,,,-0.0050451840653622185
2019-02-23,-0.00035590729225551236,-0.008866297104141732,,,-0.008866297104141732
2019-02-24,-0.010991379310344827,-0.018130281881172827,,,-0.018130281881172827
2019-02-25,-0.010991379310344827,-0.024926875270888868,,,-0.024926875270888868
2019-02-26,0.009926209120221095,-0.02399802913392801,,,-0.02399802913392801
2019-02-27,0.005965518575851392,-0.02092699215042027,,,-0.02092699215042027
2019-02-28,0.007405635838150288,-0.010035998995746255,,,-0.010035998995746255
2019-03-01,-0.0031384041331802537,0.003490363976894809,,,0.003490363976894809
2019-03-02,-0.01295977488151659,0.0059117220249020365,,,0.0059117220249020365
2019-03-03,-0.0075959483264826785,0.003362356880299018,,,0.003362356880299018
2019-03-04,-0.010901146650573327,-0.00836295767360868,,,-0.00836295767360868
2019-03-05,0.005809369024856595,-0.019814572732298308,,,-0.019814572732298308
2019-03-06,-0.0013205199115044258,-0.022634878048050477,,,-0.022634878048050477
2019-03-07,-0.0013205199115044258,-0.020495959534474566,,,-0.020495959534474566
2019-03-08,-0.012846899224806203,-0.014266783542275972,,,-0.014266783542275972
2019-03-09,-0.0391482280431433,-0.02151395010658656,,,-0.02151395010658656
2019-03-10,-0.029578817451205514,-0.038735504798325465,,,-0.038735504798325465
2019-03-11,-0.018400233508464686,-0.061795844993048986,,,-0.061795844993048986
2019-03-12,-0.01847583854462763,-0.08577698187416966,,,-0.08577698187416966
2019-03-13,-0.011025790349417638,-0.09148811006485894,,,-0.09148811006485894
2019-03-14,-0.013642307692307693,-0.08615053643089848,,,-0.08615053643089848
2019-03-15,0.005718031914893616,-0.0705134680418584,,,-0.0705134680418584
2019-03-16,-0.034445802469135804,-0.05746165580399,,,-0.05746165580399
2019-03-17,0.012491911410688492,-0.04556102754952647,,,-0.04556102754952647
2019-03-18,0.021219189511323004,-0.02892915243387973,,,-0.02892915243387973
2019-03-19,-0.015255718623481783,-0.02357028130866642,,,-0.02357028130866642
2019-03-20,-0.0018351485148514867,-0.006066255713754989,,,-0.006066255713754989
2019-03-21,0.007564680153089119,0.004326536626730074,,,0.004326536626730074
2019-03-22,-0.0060117843246247915,-0.0008037887926794903,,,-0.0008037887926794903
2019-03-23,-0.013289349112426036,-0.00019908419973126493,,,-0.00019908419973126493
2019-03-24,0.0019761418269230763,-0.006794220509910479,-0.14015449686411943,,-0.006794220509910479
2019-03-25,0.014472386058981232,-0.010430622529216824,-0.1450627661886149,,-0.010430622529216824
2019-03-26,-0.018115967969853982,-0.010285327000843513,-0.1500611314701294,,-0.010285327000843513
2019-03-27,0.003966107382550334,-0.006317759726490051,-0.1553882538140391,,-0.006317759726490051
2019-03-28,-0.012573571840738604,-0.006940443454495646,-0.16088943893515986,,-0.006940443454495646
2019-03-29,0.0072888635065676746,-0.011085934297077663,-0.16399153672030473,,-0.011085934297077663
2019-03-30,-0.0007990061162079522,-0.00787613876494087,-0.16344465853943171,,-0.00787613876494087
2019-03-31,0.0018422934648581986,-0.009511160835971208,-0.16048146247538,,-0.009511160835971208
2019-04-01,0.002051002109704641,-0.003852611002475312,-0.15548255890801832,,-0.003852611002475312
2019-04-02,-0.04799109792284867,-0.010218170888230113,-0.15031736241602833,,-0.010218170888230113
2019-04-03,-0.021053024523160765,-0.025976475839134625,-0.14614263162790786,,-0.025976475839134625
2019-04-04,-0.06322591259640103,-0.05747087882593091,-0.14397775382562647,,-0.05747087882593091
2019-04-05,-0.03708045404208195,-0.10240428933828465,-0.14316782882666004,,-0.10240428933828465
2019-04-06,-0.008712540540540542,-0.12369807014770727,-0.142954603104854,,-0.12369807014770727
2019-04-07,-0.012681699346405229,-0.13783551506120284,-0.14498841768107532,,-0.13783551506120284
