,High,Low,Open,Close,Volume,Adj Close,short-term stock,mid-term stock,long-term stock
2019-02-13,225.25,221.22000122070312,225.25,222.16000366210938,1223600.0,222.16000366210938,2.0165626817115285,8.853978143996647,2.111092169650588
2019-02-14,225.74000549316406,221.55999755859375,222.16000366210938,225.16000366210938,1094600.0,225.16000366210938,0.45300630533055986,8.45620579874636,-2.40273741966535
2019-02-15,227.27999877929688,223.2100067138672,225.24000549316406,226.77000427246094,982700.0,226.77000427246094,1.4684489872186701,5.591565214483314,-0.8554934095584197
2019-02-16,,,,,,,,,
2019-02-17,,,,,,,,,
2019-02-18,,,,,,,,,
2019-02-19,230.94000244140625,222.22000122070312,225.38999938964844,229.89999389648438,1439000.0,229.89999389648438,2.4575943041640236,,-2.7011707785752526
2019-02-20,230.2899932861328,224.64999389648438,228.74000549316406,226.63999938964844,1088200.0,226.63999938964844,12.460291903113152,6.51694507246612,0.48535391214171825
2019-02-21,226.4600067138672,223.33999633789062,225.75999450683594,226.17999267578125,930000.0,226.17999267578125,8.882311542682649,6.1986049723496,0.8046721121030576
2019-02-22,230.3300018310547,226.94000244140625,227.27999877929688,230.10000610351562,797600.0,230.10000610351562,6.67970217709293,5.262929286887376,-6.219040607476183
2019-02-23,,,,,,,,,
2019-02-24,,,,,,,,,
2019-02-25,236.1699981689453,232.17999267578125,236.00999450683594,233.8800048828125,1887800.0,233.8800048828125,3.7027485131358153,,
2019-02-26,236.07000732421875,231.72999572753906,232.55999755859375,235.5500030517578,3113700.0,235.5500030517578,-0.5136942042837973,,
2019-02-27,260.6300048828125,250.60000610351562,258.0400085449219,254.8800048828125,6567800.0,254.8800048828125,-8.019460942337966,-6.277463784323295,-15.85059964740991
2019-02-28,255.0,245.8800048828125,253.97999572753906,246.27000427246094,2653100.0,246.27000427246094,-4.771186013786877,-2.23332111283641,-12.567505750314863
2019-03-01,249.0,243.17999267578125,246.07000732421875,245.47000122070312,1801300.0,245.47000122070312,-4.416016736865674,-1.2017749352556661,-16.771906124662944
2019-03-02,,,,,,,,,
2019-03-03,,,,,,,,,
2019-03-04,248.9600067138672,238.75,247.02999877929688,242.5399932861328,1569400.0,242.5399932861328,-0.6844184255262046,,
2019-03-05,240.6300048828125,233.0,238.4600067138672,234.33999633789062,2767800.0,234.33999633789062,2.5091768262786123,,-16.06213193558986
2019-03-06,237.2100067138672,231.1999969482422,233.61000061035156,234.44000244140625,1420100.0,234.44000244140625,3.5446158812725113,5.87783596476498,-13.960926201457147
2019-03-07,238.77999877929688,233.11000061035156,234.5399932861328,234.52000427246094,1403600.0,234.52000427246094,3.513555383020518,4.246968818705459,-15.056283862919967
2019-03-08,237.5399932861328,230.36000061035156,232.5399932861328,234.6300048828125,1019800.0,234.6300048828125,2.1693714495010377,2.0457689524262404,-15.807872320168318
2019-03-09,,,,,,,,,
2019-03-10,,,,,,,,,
2019-03-11,241.8300018310547,235.8000030517578,235.9499969482422,240.8800048828125,1206500.0,240.8800048828125,0.053964472512642594,,
2019-03-12,242.50999450683594,239.50999450683594,241.89999389648438,240.22000122070312,1108500.0,240.22000122070312,0.9491294512158946,,-17.188414093373726
2019-03-13,245.02999877929688,241.22999572753906,241.6199951171875,242.75,1140100.0,242.75,1.2646786093589082,-1.4294546738220906,-17.285275680274843
2019-03-14,245.4199981689453,241.60000610351562,243.0,242.75999450683594,1103300.0,242.75999450683594,2.895863790728054,-0.6879214890154756,-16.35771640864818
2019-03-15,243.6999969482422,239.6300048828125,243.22999572753906,239.72000122070312,1931300.0,239.72000122070312,1.101284572086193,1.4141495796703942,-14.287502013011855
2019-03-16,,,,,,,,,
2019-03-17,,,,,,,,,
2019-03-18,243.1199951171875,238.2899932861328,239.13999938964844,241.00999450683594,1219900.0,241.00999450683594,0.34023789175078856,,
2019-03-19,244.0,240.97999572753906,242.8000030517578,242.5,829600.0,242.5,0.7010296693782216,,-15.463917525773196
2019-03-20,247.6999969482422,241.60000610351562,243.25,245.82000732421875,1026300.0,245.82000732421875,-2.5913311309827525,1.3749855680239553,-16.463265810307348
2019-03-21,250.25999450683594,244.19000244140625,245.0,249.7899932861328,1302400.0,249.7899932861328,-4.563831299449117,-0.38431942066568736,-16.281676312933037
2019-03-22,250.08999633789062,241.13999938964844,249.0,242.36000061035156,1028100.0,242.36000061035156,0.21455861988421174,1.6628151382851366,-14.738406144061328
2019-03-23,,,,,,,,,
2019-03-24,,,,,,,,,
2019-03-25,243.10000610351562,238.1999969482422,240.57000732421875,241.8300018310547,1693000.0,241.8300018310547,-0.1736749641339904,,
2019-03-26,246.94000244140625,243.05999755859375,244.69000244140625,244.1999969482422,1047600.0,244.1999969482422,-1.6380016584716803,,-18.71007494364964
2019-03-27,245.49000549316406,235.6999969482422,244.5,239.4499969482422,1011600.0,239.4499969482422,1.1526455630824601,3.5038628091784694,-17.08498817435867
2019-03-28,241.69000244140625,235.80999755859375,240.0,238.38999938964844,1161300.0,238.38999938964844,-0.5537111744659056,-0.07550345074964826,-16.280044321472904
2019-03-29,242.97999572753906,237.27000427246094,239.1999969482422,242.8800048828125,691300.0,242.8800048828125,-1.659255063520488,-1.8033616579206733,-15.641470985433283
2019-03-30,,,,,,,,,
2019-03-31,,,,,,,,,
2019-04-01,247.3800048828125,238.33999633789062,246.0,241.41000366210938,1189900.0,241.41000366210938,-1.0480090886531777,,
2019-04-02,241.41000366210938,236.75999450683594,241.0,240.1999969482422,939600.0,240.1999969482422,0.23730530035834013,,-14.392170068544488
2019-04-03,244.47999572753906,239.0500030517578,240.94000244140625,242.2100067138672,898200.0,242.2100067138672,0.12798709797319113,-7.311839405045209,-15.461793967609486
2019-04-04,242.27000427246094,233.14999389648438,241.85000610351562,237.07000732421875,1226700.0,237.07000732421875,3.7372864883095556,-4.3109633884332625,-11.861479523860401
2019-04-05,240.4199981689453,237.58999633789062,239.35000610351562,238.85000610351562,1263600.0,238.85000610351562,2.43248792552919,-7.9966529685738585,
2019-04-06,,,,,,,,,
2019-04-07,,,,,,,,,
2019-04-08,239.89999389648438,234.08999633789062,237.49000549316406,238.8800048828125,817600.0,238.8800048828125,3.9099113140392614,,
2019-04-09,242.80999755859375,237.60000610351562,237.85000610351562,240.77000427246094,813200.0,240.77000427246094,1.540886069379229,,-12.850438963482272
2019-04-10,245.8800048828125,239.7100067138672,240.66000366210938,242.52000427246094,1064400.0,242.52000427246094,-1.2741264812152118,-7.764308716529618,-11.207326181651691
2019-04-11,246.41000366210938,243.0,243.80999755859375,245.92999267578125,734900.0,245.92999267578125,-4.257303408989663,-7.396408622106426,-12.706868186345229
2019-04-12,247.3800048828125,243.30999755859375,246.9499969482422,244.66000366210938,819500.0,244.66000366210938,,-6.809451243660518,-11.035722879040202
2019-04-13,,,,,,,,,
2019-04-14,,,,,,,,,
2019-04-15,248.64999389648438,244.89999389648438,245.97000122070312,248.22000122070312,962000.0,248.22000122070312,-3.6016446690197648,,
2019-04-16,249.16000366210938,242.75,248.75,244.47999572753906,982400.0,244.47999572753906,-1.3866162667257347,,-10.152156617791482
2019-04-17,246.60000610351562,238.89999389648438,245.80999755859375,239.42999267578125,1671000.0,239.42999267578125,1.5369870305068725,,-8.169401560764562
2019-04-18,238.42999267578125,231.33999633789062,238.0500030517578,235.4600067138672,1052500.0,235.4600067138672,4.2470057397696745,-8.910222707936637,-5.0199638950076615
