Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2021-01-27,2020-12-01,1.41,1.68,0.27,102512.8,111439.0
2020-10-29,2020-09-01,0.69,0.73,0.04,63388.91,64698.0
2020-07-30,2020-06-01,0.51,0.65,0.14,51935.15,59685.0
2020-04-30,2020-03-01,0.52,0.64,0.12,53668.84,58313.0
2020-01-28,2019-12-01,1.14,1.25,0.11,88017.8,91819.0
2019-10-30,2019-09-01,0.71,0.76,0.05,62724.5,64040.0
2019-07-30,2019-06-01,0.53,0.55,0.02,53313.88,53809.0
2019-04-30,2019-03-01,0.59,0.62,0.03,57553.77,58015.0
2019-01-29,2018-12-01,1.04,1.05,0.01,84071.09,84310.0
2018-11-01,2018-09-01,0.7,0.73,0.03,61492.3,62900.0
2018-07-31,2018-06-01,0.54,0.59,0.05,52367.89,53265.0
2018-05-01,2018-03-01,0.67,0.68,0.01,61104.77,61137.0
2018-02-01,2017-12-01,0.96,0.97,0.01,86293.21,88293.0
