Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2021-02-02,2020-12-01,7.05,14.09,7.04,120361.0,125555.0
2020-10-29,2020-09-01,7.3,12.37,5.07,92918.16,96145.0
2020-07-30,2020-06-01,1.74,10.3,8.56,81558.91,88912.0
2020-04-30,2020-03-01,6.36,5.01,-1.35,74363.2,75452.0
2020-01-30,2019-12-01,3.98,6.47,2.49,85995.84,87437.0
2019-10-24,2019-09-01,4.46,4.23,-0.23,68673.26,69981.0
2019-07-25,2019-06-01,5.29,5.22,-0.07,62568.9,63404.0
2019-04-25,2019-03-01,4.61,7.09,2.48,59694.4,59700.0
2019-01-31,2018-12-01,5.55,6.04,0.49,71727.37,72383.0
2018-10-25,2018-09-01,3.29,5.75,2.46,57053.06,56576.0
2018-07-26,2018-06-01,2.49,5.07,2.58,53448.75,52886.0
2018-04-26,2018-03-01,1.22,3.27,2.05,50174.64,51042.0
2018-02-01,2017-12-01,1.85,2.16,0.31,59986.63,60453.0
