Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2021-02-02,2020-12-01,3.11,3.38,0.27,32523.0,33883.0
2020-11-05,2020-09-01,2.04,2.65,0.61,22900.77,22838.0
2020-08-20,2020-06-01,1.97,2.1,0.13,21057.49,21762.0
2020-05-22,2020-03-01,0.88,1.3,0.42,15280.87,16144.0
2020-02-13,2019-12-01,2.25,2.61,0.36,22651.08,23192.0
2019-11-01,2019-09-01,1.55,1.83,0.28,16719.56,16651.0
2019-08-15,2019-06-01,1.5,1.83,0.33,16574.84,16741.0
2019-05-15,2019-03-01,1.05,1.28,0.23,13510.25,13932.0
2019-01-30,2018-12-01,1.63,1.77,0.14,17257.98,17057.0
2018-11-02,2018-09-01,1.12,1.4,0.28,12647.1,12398.0
2018-08-23,2018-06-01,1.29,1.22,-0.07,12250.54,12229.0
2018-05-04,2018-03-01,0.88,0.91,0.03,9174.75,9873.0
2018-02-01,2017-12-01,1.65,1.63,-0.02,12129.27,12761.0
