Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2020-12-07,2020-10-01,0.04,0.18,0.14,123.79,132.96
2020-09-08,2020-07-01,0.08,0.21,0.13,118.84,125.92
2020-06-08,2020-04-01,0.07,0.2,0.13,111.83,119.21
2020-03-16,2020-01-01,0.05,0.21,0.16,102.77,111.45
2019-12-02,2019-10-01,0.07,0.2,0.13,96.5,101.78
2019-09-03,2019-07-01,-0.1,0.07,0.17,85.54,95.14
2019-06-03,2019-04-01,-0.04,0.03,0.07,73.79,81.34
2019-03-11,2019-01-01,0.0,0.05,,68.07,74.91
2018-12-03,2018-10-01,-0.03,0.08,0.11,62.53,67.46
2018-09-04,2018-07-01,-0.09,0.05,0.14,56.61,61.65
2018-06-04,2018-04-01,-0.11,-0.01,0.1,51.41,56.35
2018-03-12,2018-01-01,-0.15,0.02,0.17,48.59,53.75
