Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2021-01-29,2020-12-01,0.21,0.27,0.06,7418.0,8085.11
2020-10-21,2020-09-01,0.16,0.2,0.04,6520.0,6481.0
2020-07-17,2020-06-01,0.07,0.1,0.03,5587.0,5741.93
2020-04-22,2020-03-01,0.08,0.08,0.0,5545.0,5148.58
2020-01-24,2019-12-01,0.16,0.15,-0.01,6954.0,6904.39
2019-10-17,2019-09-01,0.08,-0.19,-0.27,5903.0,5959.38
2019-07-17,2019-06-01,0.07,0.06,-0.01,5721.0,5804.11
2019-04-17,2019-03-01,0.05,0.09,0.04,5335.3,5333.54
2019-01-25,2018-12-01,0.13,-0.09,-0.22,6884.0,7053.35
2018-10-18,2018-09-01,0.04,0.12,0.08,5631.0,6417.92
2018-07-18,2018-06-01,0.02,-0.01,-0.03,5432.28,5750.33
2018-04-20,2018-03-01,-0.03,0.01,0.04,5547.0,5353.23
2018-01-31,2017-12-01,0.04,-0.14,-0.18,7053.0,6881.33
