Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2020-11-04,2020-09-01,0.08,0.28,0.2,1006.53,1115.7
2020-08-10,2020-06-01,0.1,1.11,1.01,790.76,878.37
2020-05-05,2020-03-01,-0.43,-0.44,-0.01,643.84,652.09
2020-02-10,2019-12-01,-0.69,-1.11,-0.42,667.99,674.27
2019-10-31,2019-09-01,0.01,-0.97,-0.98,604.89,603.03
2019-08-07,2019-06-01,0.28,0.31,0.03,497.58,545.24
2019-05-02,2019-03-01,-0.03,0.13,0.16,415.95,473.77
2019-02-26,2018-12-01,-0.15,-0.05,0.1,404.38,428.02
2018-11-01,2018-09-01,-0.1,-0.23,-0.13,348.58,355.28
2018-08-08,2018-06-01,-0.21,-0.25,-0.04,331.79,335.38
2018-05-09,2018-03-01,0.48,-0.29,-0.77,421.62,320.98
2018-02-22,2017-12-01,0.55,0.2,-0.35,404.74,436.98
