Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2021-01-26,2020-12-01,1.64,2.03,0.39,40123.54,43076.0
2020-10-27,2020-09-01,1.53,1.82,0.29,35674.06,37154.0
2020-07-22,2020-06-01,1.38,1.46,0.08,36586.54,38033.0
2020-04-29,2020-03-01,1.27,1.4,0.13,33855.58,35021.0
2020-01-29,2019-12-01,1.32,1.51,0.19,35692.62,36906.0
2019-10-23,2019-09-01,1.25,1.38,0.13,32232.8,33055.0
2019-07-18,2019-06-01,1.21,1.37,0.16,32732.25,33717.0
2019-04-24,2019-03-01,1.0,1.14,0.14,29838.38,30571.0
2019-01-30,2018-12-01,1.09,1.1,0.01,32454.8,32471.0
2018-10-24,2018-09-01,0.96,1.14,0.18,27728.9,29084.0
2018-07-19,2018-06-01,1.07,1.13,0.06,29206.22,30085.0
2018-04-26,2018-03-01,0.85,0.95,0.1,25706.04,26819.0
2018-01-31,2017-12-01,0.86,0.96,0.1,28352.58,28918.0
