Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2020-12-02,2020-10-01,-0.01,0.04,0.05,202.66,217.38
2020-08-27,2020-07-01,-0.02,0.07,0.09,186.44,200.45
2020-05-28,2020-04-01,-0.18,-0.07,0.11,172.1,182.86
2020-03-05,2020-01-01,-0.05,-0.01,0.04,155.77,167.33
2019-12-05,2019-10-01,-0.12,-0.07,0.05,143.61,153.04
2019-08-28,2019-07-01,-0.1,-0.05,0.05,131.07,140.48
2019-05-30,2019-04-01,-0.21,-0.19,0.02,116.66,125.22
2019-03-07,2019-01-01,-0.08,-0.04,0.04,107.94,115.47
2018-12-05,2018-10-01,-0.11,-0.04,0.07,96.81,105.58
2018-09-06,2018-07-01,-0.2,-0.15,0.05,84.74,94.59
2018-06-06,2018-04-01,-0.16,-0.09,0.07,78.79,83.62
2018-03-07,2018-01-01,-0.15,-0.1,0.05,75.84,77.75
