Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2020-11-16,2020-10-01,1.34,1.62,0.28,920.73,946.0
2020-08-24,2020-07-01,1.39,1.48,0.09,922.47,950.4
2020-05-21,2020-04-01,0.91,1.17,0.26,829.24,869.4
2020-02-24,2020-01-01,1.12,1.19,0.07,843.17,816.7
2019-11-25,2019-10-01,1.03,1.05,0.02,767.4,771.9
2019-09-04,2019-07-01,1.42,1.47,0.05,803.06,805.8
2019-05-29,2019-04-01,1.25,1.31,0.06,703.89,726.6
2019-02-26,2019-01-01,1.22,1.51,0.29,682.76,711.2
2018-11-29,2018-10-01,1.05,1.17,0.12,631.7,656.0
2018-09-06,2018-07-01,1.17,1.28,0.11,633.19,658.1
2018-06-04,2018-04-01,0.96,0.99,0.03,545.79,567.1
2018-02-26,2018-01-01,0.79,0.86,0.07,525.37,542.4
