Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2020-10-29,2020-09-01,0.5,1.13,0.63,656.09,767.41
2020-07-29,2020-06-01,0.01,1.05,1.04,507.88,714.34
2020-05-06,2020-03-01,-0.18,0.19,0.37,443.65,470.0
2020-02-12,2019-12-01,0.23,0.43,0.2,482.26,505.16
2019-10-29,2019-09-01,0.11,0.13,0.02,384.05,390.55
2019-08-01,2019-06-01,0.03,0.14,0.11,350.58,361.98
2019-04-30,2019-03-01,-0.05,0.09,0.14,309.93,320.48
2019-02-12,2018-12-01,0.21,0.26,0.05,326.96,343.86
2018-10-25,2018-09-01,-0.04,0.04,0.08,257.17,270.06
2018-07-31,2018-06-01,-0.02,0.02,0.04,234.69,244.96
2018-05-01,2018-03-01,-0.05,0.04,0.09,201.63,214.34
2018-02-15,2017-12-01,0.05,0.15,0.1,207.99,222.81
