Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2020-11-05,2020-09-01,0.14,0.34,0.2,2147.51,3033.87
2020-08-04,2020-06-01,-0.07,0.18,0.25,1140.33,1923.63
2020-05-06,2020-03-01,0.13,-0.02,-0.15,1304.89,1381.11
2020-02-26,2019-12-01,0.2,0.23,0.03,1186.36,1313.43
2019-11-06,2019-09-01,0.2,0.25,0.05,1153.73,1266.47
2019-08-01,2019-06-01,0.16,0.21,0.05,1110.09,1174.24
2019-05-01,2019-03-01,0.08,0.11,0.03,942.62,959.36
2019-02-27,2018-12-01,0.13,0.14,0.01,908.21,932.53
2018-11-07,2018-09-01,0.11,0.13,0.02,860.52,882.11
2018-08-01,2018-06-01,0.11,0.13,0.02,775.42,814.94
2018-05-02,2018-03-01,0.05,0.06,0.01,623.75,668.6
2018-02-27,2017-12-01,0.07,0.08,0.01,601.63,616.04
