Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2021-02-04,2020-12-01,0.51,1.03,0.52,19965.6,20341.0
2020-11-05,2020-09-01,0.51,1.17,0.66,18254.23,19272.0
2020-08-06,2020-06-01,0.11,0.61,0.5,17772.66,17671.0
2020-05-06,2020-03-01,1.0,1.23,0.23,18968.16,11113.0
2020-02-06,2019-12-01,0.83,0.87,0.04,11815.74,11878.0
2019-10-28,2019-09-01,0.97,1.16,0.19,11284.06,11061.0
2019-07-25,2019-06-01,0.99,1.29,0.3,11139.5,10979.0
2019-04-25,2019-03-01,0.95,1.17,0.22,10978.89,11080.0
2019-02-07,2018-12-01,0.69,0.75,0.06,11414.49,11445.0
2018-10-30,2018-09-01,0.85,0.93,0.08,10695.62,10839.0
2018-08-01,2018-06-01,0.86,0.92,0.06,10635.67,10571.0
2018-05-01,2018-03-01,0.73,0.78,0.05,10386.13,10455.0
2018-02-08,2017-12-01,0.37,0.48,0.11,10885.58,10759.0
