,High,Low,Open,Close,Volume,Adj Close,short-term stock,mid-term stock,long-term stock
2019-02-13,163.57000732421875,160.27000427246094,163.44000244140625,160.39999389648438,5296000.0,160.39999389648438,-1.1596014221496362,0.29925873104328454,-1.452610137734359
2019-02-14,160.44000244140625,156.7100067138672,159.47000122070312,159.47000122070312,5061100.0,159.47000122070312,0.10033464656962866,-0.04389999603866644,-2.7654126972796735
2019-02-15,161.22000122070312,158.08999633789062,160.99000549316406,159.0500030517578,5282000.0,159.0500030517578,1.420933331325051,-2.470926035311936,-0.35838246669712986
2019-02-16,,,,,,,,,
2019-02-17,,,,,,,,,
2019-02-18,,,,,,,,,
2019-02-19,161.47999572753906,159.13999938964844,159.66000366210938,160.61000061035156,3883200.0,160.61000061035156,1.4880763218765585,,-2.8827625086965405
2019-02-20,161.49000549316406,157.2100067138672,160.3300018310547,158.5399932861328,7047200.0,158.5399932861328,2.8888621325905475,1.6651945890295135,-1.740882189804753
2019-02-21,160.47999572753906,157.3000030517578,157.6999969482422,159.6300048828125,4463000.0,159.6300048828125,2.518316663977444,0.551268306149245,-1.2466362414916696
2019-02-22,161.7100067138672,160.1999969482422,160.47000122070312,161.30999755859375,4175000.0,161.30999755859375,1.9961572558659928,0.8120994224911017,-4.711419601854476
2019-02-23,,,,,,,,,
2019-02-24,,,,,,,,,
2019-02-25,163.05999755859375,160.92999267578125,162.50999450683594,161.36000061035156,5076700.0,161.36000061035156,-1.7724346799290283,,
2019-02-26,163.3800048828125,159.8699951171875,160.80999755859375,163.0,4496300.0,163.0,-3.699385754169862,,
2019-02-27,163.52999877929688,160.5,162.2899932861328,163.1199951171875,4278300.0,163.1199951171875,-3.8805799537372057,-2.85065843285721,-4.861447347447651
2019-02-28,164.60000610351562,162.1699981689453,163.0,163.64999389648438,6908100.0,163.64999389648438,-4.919027249130673,-4.081877742083285,-6.575004526820878
2019-03-01,166.14999389648438,161.75,165.14999389648438,164.52999877929688,6919900.0,164.52999877929688,-5.755790002409429,-2.6074231556322305,-5.391111154802749
2019-03-02,,,,,,,,,
2019-03-03,,,,,,,,,
2019-03-04,165.7899932861328,155.4199981689453,165.55999755859375,158.5,17886300.0,158.5,-0.5362814533221609,,
2019-03-05,160.8800048828125,154.8000030517578,159.9199981689453,156.97000122070312,16042900.0,156.97000122070312,0.8345528116240922,,-7.56195134412851
2019-03-06,160.25,156.27999877929688,157.1300048828125,156.7899932861328,7436300.0,156.7899932861328,1.9261460563682795,2.104728103237746,-3.8140161895573974
2019-03-07,157.58999633789062,154.80999755859375,156.08999633789062,155.60000610351562,6916500.0,155.60000610351562,3.258349528634843,1.9858587510818932,1.825190376921494
2019-03-08,155.41000366210938,150.25,152.02000427246094,155.05999755859375,4800700.0,155.05999755859375,4.159678221202651,0.1805744767866836,2.7408745433483053
