,Short Term,Mid Term,Long Term,color
All Stocks,0.036285621922736544,0.3156383033051815,0.5436195796968057,"(0.8392156862745098, 0.15294117647058825, 0.1568627450980392)"
Microsoft,0.27385845756834004,0.4001044889869855,0.8872525886439868,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Alphabet,0.2910429841830896,0.43246246166029123,0.8479012970759521,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
T-Mobile,0.49158656976772563,0.4636619585688653,0.8025497370205062,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Analog Devices,0.35435356150244113,0.47739886460044945,0.7676222172581346,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Qualcomm,0.13742179056372383,0.4899622739316055,0.20664285537997884,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
American Tower,0.4129481087235338,0.6395505691252139,0.7959059515975204,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
MercadoLibre,-0.09541854906133329,0.6457545258810712,0.8643145841055982,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Square,0.2551161257284511,0.7254542141850491,0.4027247338609987,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Coupa Software,0.08342032454065529,0.7407384954170737,0.676326833519248,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Palo Alto Networks,-0.21525897206491162,0.7823610974348898,0.917498546567328,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Apple,-0.03929159638682678,0.8203837070351142,0.8939861464152923,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
PayPal,0.042790240601287555,0.8277125663286521,0.8803020222083049,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Salesforce,0.4002645782465233,0.8281659507005836,0.9676132271003051,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Okta,0.2837947194015006,0.8786269566744266,0.6188676151716979,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Shopify,0.3569118954277042,0.8833636876327041,0.8286761416883659,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
LM Ericsson,0.08594748725083756,0.8974735133369213,0.7701583880765681,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Amazon,0.06734859633462353,0.9066204646162258,0.8868833817479167,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Nvidia,0.32670696620205053,0.9068073052611642,0.9255688361502612,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
Alibaba,0.40091917406828825,0.9328312456864362,0.9510350204389986,"(0.12156862745098039, 0.4666666666666667, 0.7058823529411765)"
