Date,Adj Close,Volume,Surprise_EPS,Total Sentiment,Avg Sentiment
2020-06-01,233.9600067138672,1960900,0.16,0.4526,0.2263
2020-06-02,230.0800018310547,1710400,0.16,-1.2498,-0.6249
2020-06-03,224.2100067138672,1790500,0.16,-1.2498,-0.6249
2020-06-04,218.0500030517578,1504700,0.16,1.341,0.6705
2020-06-05,216.94000244140625,1321500,0.16,2.515,0.4191666666666667
2020-06-08,220.77999877929688,2550400,0.13,0.256,0.042666666666666665
2020-06-09,224.58999633789062,3869600,0.13,1.798,0.14983333333333335
2020-06-10,223.74000549316406,4173700,0.13,1.5254000000000003,0.19067500000000004
2020-06-11,217.97000122070312,4313200,0.13,2.0608,0.5152
2020-06-12,224.00999450683594,1844600,0.13,3.3416,0.8354
2020-06-15,238.38999938964844,2254900,0.13,0.0516,0.0258
2020-06-16,247.75,2228700,0.13,3.1254,0.78135
2020-06-17,252.61000061035156,1957000,0.13,0.0,0.0
2020-06-18,259.80999755859375,1582900,0.13,0.0,0.0
2020-06-19,258.8599853515625,1785800,0.13,0.0,0.0
2020-06-22,262.20001220703125,1672400,0.13,0.0,0.0
2020-06-23,262.4700012207031,1487900,0.13,0.0,0.0
2020-06-24,257.9100036621094,1561000,0.13,0.0,0.0
2020-06-25,274.2300109863281,2109000,0.13,0.0,0.0
2020-06-26,275.70001220703125,1903200,0.13,0.0,0.0
2020-06-29,272.94000244140625,1289700,0.13,1.4402,0.36005
2020-06-30,277.0400085449219,1306000,0.13,1.1988,0.5994
2020-07-01,287.7900085449219,1511500,0.13,1.1988,0.5994
2020-07-02,290.7900085449219,1152800,0.13,1.1988,0.5994
2020-07-06,287.0400085449219,1460000,0.13,1.1988,0.5994
2020-07-07,290.3800048828125,1217000,0.13,1.1988,0.5994
2020-07-08,304.8699951171875,1707900,0.13,1.1988,0.5994
2020-07-09,312.2200012207031,2171000,0.13,1.1988,0.5994
2020-07-10,308.2799987792969,1137900,0.13,1.1988,0.5994
2020-07-13,283.010009765625,1841200,0.13,1.1988,0.5994
2020-07-14,297.7900085449219,2477200,0.13,0.8038,0.4019
2020-07-15,297.17999267578125,2212900,0.13,0.8038,0.4019
2020-07-16,296.95001220703125,1965200,0.13,1.2972,0.6486
2020-07-17,303.6400146484375,1909100,0.13,1.2972,0.6486
2020-07-20,316.05999755859375,1286300,0.13,1.2972,0.6486
2020-07-21,309.489990234375,2205600,0.13,1.2972,0.6486
2020-07-22,313.42999267578125,1217400,0.13,1.2972,0.6486
2020-07-23,296.3500061035156,1417000,0.13,1.2972,0.6486
2020-07-24,292.1099853515625,907800,0.13,1.2972,0.6486
2020-07-27,292.8500061035156,1325100,0.13,1.486,0.743
2020-07-28,294.3800048828125,748800,0.13,-0.3558,-0.1779
2020-07-29,300.07000732421875,987000,0.13,-0.3558,-0.1779
2020-07-30,302.92999267578125,631600,0.13,0.9176,0.4588
2020-07-31,306.45001220703125,728500,0.13,0.9176,0.4588
2020-08-03,312.8500061035156,935400,0.13,0.9176,0.4588
2020-08-04,313.32000732421875,445900,0.13,0.9176,0.4588
2020-08-05,315.94000244140625,525200,0.13,0.9176,0.4588
2020-08-06,312.25,719600,0.13,0.9176,0.4588
2020-08-07,289.30999755859375,1498800,0.13,0.9176,0.4588
2020-08-10,285.17999267578125,1287500,0.13,0.9176,0.4588
2020-08-11,281.55999755859375,1074700,0.13,0.9176,0.4588
2020-08-12,281.3699951171875,673900,0.13,0.9176,0.4588
2020-08-13,289.7300109863281,878100,0.13,0.9176,0.4588
2020-08-14,285.8900146484375,347500,0.13,0.9176,0.4588
2020-08-17,294.0899963378906,926400,0.13,0.9176,0.4588
2020-08-18,300.42999267578125,690400,0.13,0.9176,0.4588
2020-08-19,298.5199890136719,511700,0.13,0.9176,0.4588
2020-08-20,305.8599853515625,720800,0.13,0.9176,0.4588
2020-08-21,301.010009765625,602000,0.13,0.9176,0.4588
2020-08-24,297.3800048828125,743300,0.13,0.9176,0.4588
2020-08-25,301.6300048828125,672700,0.13,0.9176,0.4588
2020-08-26,331.8299865722656,1720100,0.13,0.9176,0.4588
2020-08-27,324.739990234375,640500,0.13,0.9176,0.4588
2020-08-28,325.9700012207031,735400,0.13,0.9176,0.4588
2020-08-31,327.739990234375,1020700,0.13,0.9176,0.4588
2020-09-01,344.4200134277344,1398400,0.13,0.9176,0.4588
2020-09-02,327.9599914550781,1847900,0.13,0.9176,0.4588
2020-09-03,308.2300109863281,2066800,0.13,0.9176,0.4588
2020-09-04,285.80999755859375,2210700,0.13,0.9176,0.4588
2020-09-08,276.70001220703125,1898700,0.13,0.9176,0.4588
2020-09-09,260.4800109863281,5148400,0.13,0.9176,0.4588
2020-09-10,254.0500030517578,1985200,0.13,0.9176,0.4588
2020-09-11,243.24000549316406,1925400,0.13,0.9176,0.4588
2020-09-14,248.42999267578125,1534200,0.13,0.9176,0.4588
2020-09-15,252.27999877929688,1332700,0.13,0.9176,0.4588
2020-09-16,250.16000366210938,1514400,0.13,0.9176,0.4588
2020-09-17,244.8300018310547,1707200,0.13,0.9176,0.4588
2020-09-18,248.19000244140625,3019300,0.13,0.9176,0.4588
2020-09-21,265.2799987792969,2327400,0.13,0.9176,0.4588
2020-09-22,268.239990234375,1612400,0.13,0.9176,0.4588
