Date,Adj Close,Volume,Surprise_EPS,Total Sentiment,Avg Sentiment
2020-06-01,176.36000061035156,5711600,0.01,0.5574,0.2787
2020-06-02,174.22999572753906,8571800,0.01,0.7082,0.07868888888888889
2020-06-03,174.99000549316406,6004000,0.01,-0.0516,-0.0129
2020-06-04,171.44000244140625,7301600,0.01,1.3931,0.46436666666666665
2020-06-05,173.8800048828125,8232200,0.01,1.3931,0.46436666666666665
2020-06-08,176.5500030517578,4592600,0.01,0.7964,0.7964
2020-06-09,174.55999755859375,4025600,0.01,0.7964,0.7964
2020-06-10,182.10000610351562,8127200,0.01,0.0,0.0
2020-06-11,172.0500030517578,6521200,0.01,0.0,0.0
2020-06-12,175.11000061035156,5443800,0.01,-0.7759,-0.38795
2020-06-15,178.61000061035156,6000000,0.01,-0.7759,-0.38795
2020-06-16,180.47999572753906,5824100,0.01,-0.5719,-0.28595
2020-06-17,181.39999389648438,5038600,0.01,0.7964,0.3982
2020-06-18,187.66000366210938,8677800,0.01,0.836,0.418
2020-06-19,186.9499969482422,11841000,0.01,0.3661,0.18305
2020-06-22,191.64999389648438,6252200,0.01,0.5002000000000001,0.16673333333333337
2020-06-23,189.05999755859375,6950800,0.01,3.3023000000000002,0.66046
2020-06-24,185.5500030517578,4903100,0.01,1.8538000000000001,0.6179333333333333
2020-06-25,188.33999633789062,4022400,0.01,2.9669000000000003,0.7417250000000001
2020-06-26,183.1699981689453,7595700,0.01,0.9932,0.19863999999999998
2020-06-29,183.3300018310547,3972100,0.01,1.4756999999999998,0.49189999999999995
2020-06-30,187.3300018310547,4478900,0.01,1.4756999999999998,0.49189999999999995
2020-07-01,191.88999938964844,4754600,0.01,0.875,0.4375
2020-07-02,192.52999877929688,4200300,0.01,1.3311,0.66555
2020-07-06,197.72000122070312,5794200,0.01,1.4219,0.71095
2020-07-07,196.3800048828125,5431500,0.01,1.3332000000000002,0.33330000000000004
2020-07-08,200.27999877929688,4233700,0.01,0.9954,0.24885
2020-07-09,200.74000549316406,6062800,0.01,0.9954,0.24885
2020-07-10,198.8800048828125,3783200,0.01,0.9954,0.24885
2020-07-13,188.33999633789062,5555400,0.01,0.9977,0.9977
2020-07-14,189.55999755859375,5854700,0.01,0.0,0.0
2020-07-15,188.08999633789062,7681800,0.01,0.9735,0.9735
