Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2020-11-24,2020-10-01,1.32,1.44,0.12,1443.31,1526.3
2020-08-19,2020-07-01,1.33,1.36,0.03,1451.05,1456.14
2020-05-20,2020-04-01,1.05,1.08,0.03,1325.23,1317.06
2020-02-19,2020-01-01,1.0,1.03,0.03,1300.84,1303.57
2019-11-26,2019-10-01,1.21,1.19,-0.02,1452.34,1443.22
2019-08-21,2019-07-01,1.22,1.26,0.04,1451.77,1480.14
2019-05-22,2019-04-01,1.3,1.36,0.06,1504.0,1526.6
2019-02-20,2019-01-01,1.28,1.33,0.05,1509.16,1541.1
2018-11-20,2018-10-01,1.52,1.55,0.03,1570.88,1596.59
2018-08-22,2018-07-01,1.46,1.53,0.07,1516.91,1572.68
2018-05-30,2018-04-01,1.37,1.45,0.08,1472.31,1513.05
2018-02-28,2018-01-01,1.29,1.42,0.13,1496.79,1518.62
