Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2020-10-29,2020-09-01,2.08,1.04,-1.04,1966.88,2012.9
2020-07-30,2020-06-01,2.05,1.0,-1.05,1952.84,1913.0
2020-04-29,2020-03-01,2.04,0.93,-1.11,2001.31,1993.1
2020-02-25,2019-12-01,1.9,1.26,-0.64,1935.03,1923.7
2019-10-31,2019-09-01,1.96,1.12,-0.84,1859.92,1953.6
2019-07-31,2019-06-01,1.93,0.96,-0.97,1838.25,1889.6
2019-05-03,2019-03-01,1.86,0.89,-0.97,1798.74,1813.4
2019-02-27,2018-12-01,2.3,0.62,-1.68,2023.71,2131.9
2018-10-30,2018-09-01,1.82,0.83,-0.99,1770.06,1785.5
2018-07-31,2018-06-01,1.78,0.69,-1.09,1749.81,1780.9
2018-05-01,2018-03-01,1.76,0.63,-1.13,1737.13,1741.8
2018-02-27,2017-12-01,1.68,0.51,-1.17,1692.13,1704.5
