Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2020-12-01,2020-10-01,0.74,1.74,1.0,5246.28,5419.0
2020-08-25,2020-07-01,0.67,1.44,0.77,4898.85,5151.0
2020-05-28,2020-04-01,0.69,0.7,0.01,4851.44,4865.0
2020-02-25,2020-01-01,0.55,0.66,0.11,4752.85,4851.0
2019-12-03,2019-10-01,0.66,0.75,0.09,4436.31,4513.0
2019-08-22,2019-07-01,0.47,0.66,0.19,3947.64,3997.0
2019-06-04,2019-04-01,0.61,0.93,0.32,3682.98,3737.0
2019-03-04,2019-01-01,0.56,0.7,0.14,3561.58,3603.0
2018-11-27,2018-10-01,0.5,0.61,0.11,3366.85,3392.0
2018-08-29,2018-07-01,0.47,0.71,0.24,3231.52,3281.0
2018-05-29,2018-04-01,0.46,0.74,0.28,2940.35,3006.0
2018-02-28,2018-01-01,0.33,0.35,0.02,2813.3,2851.0
