Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2021-02-02,2020-12-01,15.91,22.3,6.39,44089.54,46432.0
2020-10-29,2020-09-01,11.4,16.4,5.0,35356.05,38007.0
2020-07-30,2020-06-01,8.43,10.13,1.7,30583.31,31603.0
2020-04-28,2020-03-01,10.4,9.87,-0.53,32586.78,33707.0
2020-02-03,2019-12-01,12.76,15.35,2.59,38440.73,37574.0
2019-10-28,2019-09-01,12.57,10.12,-2.45,32839.77,33009.0
2019-07-25,2019-06-01,11.49,14.21,2.72,30896.04,31706.0
2019-04-29,2019-03-01,10.57,11.9,1.33,29989.7,29479.0
2019-02-04,2018-12-01,11.08,12.77,1.69,31280.46,31840.0
2018-10-25,2018-09-01,10.54,13.06,2.52,27315.91,27158.0
2018-07-23,2018-06-01,9.45,11.75,2.3,25639.38,26237.0
2018-04-23,2018-03-01,9.21,9.93,0.72,24197.38,24858.0
2018-02-01,2017-12-01,10.12,9.7,-0.42,25654.86,25873.0
