Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2020-11-18,2020-10-01,2.57,2.91,0.34,4418.26,4726.0
2020-08-19,2020-07-01,1.94,2.18,0.24,3654.58,3866.0
2020-05-21,2020-04-01,1.69,1.8,0.11,2995.27,3080.0
2020-02-13,2020-01-01,1.66,1.89,0.23,2958.12,3105.0
2019-11-14,2019-10-01,1.57,1.78,0.21,2901.79,3014.0
2019-08-15,2019-07-01,1.15,1.24,0.09,2545.95,2579.0
2019-05-16,2019-04-01,0.82,0.88,0.06,2197.42,2220.0
2019-02-14,2019-01-01,0.75,0.8,0.05,2369.44,2205.0
2018-11-15,2018-10-01,1.91,1.84,-0.07,3238.97,3181.0
2018-08-16,2018-07-01,1.84,1.94,0.1,3108.38,3123.0
2018-05-10,2018-04-01,1.65,2.05,0.4,2907.2,3207.0
2018-02-08,2018-01-01,1.16,1.72,0.56,2668.64,2911.0
