Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2021-02-03,2020-12-01,1.0,1.08,0.08,6061.93,6116.0
2020-11-02,2020-09-01,0.94,1.07,0.13,5400.51,5459.0
2020-07-29,2020-06-01,0.84,1.07,0.23,4956.55,5261.0
2020-05-06,2020-03-01,0.75,0.66,-0.09,4715.7,4618.0
2020-01-29,2019-12-01,0.83,0.86,0.03,4942.72,4961.0
2019-10-23,2019-09-01,0.52,0.61,0.09,4341.27,4378.0
2019-07-24,2019-06-01,0.75,0.86,0.11,4332.81,4305.0
2019-04-24,2019-03-01,0.67,0.78,0.11,4121.58,4128.0
2019-01-30,2018-12-01,0.67,0.69,0.02,4238.47,4226.0
2018-10-18,2018-09-01,0.54,0.58,0.04,3664.72,3683.0
2018-07-25,2018-06-01,0.56,0.58,0.02,3821.41,3857.0
2018-04-25,2018-03-01,0.54,0.57,0.03,3580.51,3685.0
2018-01-31,2017-12-01,0.52,0.55,0.03,3631.09,3744.0
