Date,Period Ending,Estimated_EPS,Reported_EPS,Surprise_EPS,Estimated_Revenue,Reported_Revenue
2021-02-03,2020-12-01,2.1,2.17,0.07,8298.89,8235.0
2020-11-04,2020-09-01,1.19,1.45,0.26,5935.15,8346.0
2020-07-29,2020-06-01,0.72,0.86,0.14,4811.29,4893.0
2020-04-29,2020-03-01,0.79,0.88,0.09,5093.82,5216.0
2020-02-05,2019-12-01,0.85,0.99,0.14,4825.29,5077.0
2019-11-06,2019-09-01,0.71,0.78,0.07,4717.79,4814.0
2019-07-31,2019-06-01,0.76,0.8,0.04,5111.92,9635.0
2019-05-01,2019-03-01,0.71,0.77,0.06,4804.65,4982.0
2019-01-30,2018-12-01,1.08,1.2,0.12,4884.57,4842.0
2018-11-07,2018-09-01,0.83,0.9,0.07,5534.56,5803.0
2018-07-25,2018-06-01,0.71,1.01,0.3,5200.26,5599.0
2018-04-25,2018-03-01,0.7,0.8,0.1,5201.34,5261.0
2018-01-31,2017-12-01,0.9,0.98,0.08,5947.7,6068.0
