date,content
2021-02-02 04:01:20+00:00,"52w return (%) among largest #reits #realestate $VNQ
1. 🇺🇸 AMERICAN TOWER CORPO. $AMT: -2.9
2. 🇺🇸 PROLOGIS, INC. $PLD: 12.3
3. 🇺🇸 CROWN CASTLE INTERNA. $CCI: 6.7
4. 🇺🇸 EQUINIX, INC. (REIT) $EQIX: 22.6
5. 🇺🇸 DIGITAL REALTY TRUST. $DLR: 16.9"
2021-02-01 17:42:08+00:00,"$AMT American Tower, breaking its down channel https://t.co/uEqAqu3uOZ"
2021-02-01 16:05:57+00:00,"Since its inception, American Tower has boosted its footprint with numerous acquisitions. Prior to the January 2021 Telxius sale to American Tower, the company's last major LatAm transaction was its $772 million deal with Chilean telco Entel.  https://t.co/C4KfLj9Zit"
2021-02-01 13:56:05+00:00,"@focusedoptions Hi, Taylor. Maybe you thought it read “AMC” but I was requesting your thoughts on “AMT” - American Tower.  It has a weekly, 3D, and daily low compression squeeze that I think may fire short as it is trading at the high of the range. What do you think if you have time to review?"
2021-02-01 13:30:13+00:00,American Tower Corp: A Surefire Way to Profit from the 5G Revolution? https://t.co/YQ2NvzQS1M #RecentWorldNews #topstories https://t.co/joCPIILObL
2021-02-01 10:00:45+00:00,"Distance from 52w high (%) for largest #reits #realestate $VNQ
1. 🇺🇸 AMERICAN TOWER CORPO. $AMT: -16.5
2. 🇺🇸 PROLOGIS, INC. $PLD: -8.2
3. 🇺🇸 CROWN CASTLE INTERNA. $CCI: -11.5
4. 🇺🇸 EQUINIX, INC. (REIT) $EQIX: -11.9
5. 🇺🇸 DIGITAL REALTY TRUST. $DLR: -13.0"
2021-02-01 08:00:45+00:00,"Distance from 52w low (%) for largest #reits #realestate $VNQ
1. 🇺🇸 AMERICAN TOWER CORPO. $AMT: 30.4
2. 🇺🇸 PROLOGIS, INC. $PLD: 72.5
3. 🇺🇸 CROWN CASTLE INTERNA. $CCI: 39.5
4. 🇺🇸 EQUINIX, INC. (REIT) $EQIX: 54.8
5. 🇺🇸 DIGITAL REALTY TRUST. $DLR: 37.1"
2021-02-01 05:31:40+00:00,"@StockMKTNewz Monster Beverage, Faceook, Apple, American Tower, PayPal, Pepsi, Square, Ester Lauder,"
2021-02-01 04:56:38+00:00,American Tower and Nextlink plan to build towers for fixed wireless in Minnesota https://t.co/Wfrg0RbcVn via @AnnT
2021-01-31 20:54:20+00:00,American Tower and Nextlink plan to build towers for fixed wireless in Minnesota https://t.co/il0aZYVpC9
