,High,Low,Open,Close,Volume,Adj Close,Surprise_EPS,Total Sentiment,Avg Sentiment,Weekly Sentiment,Monthly Sentiment,Quarterly Sentiment,weekly stock,monthly stock,quarterly stock
2020-06-01,207.1999969482422,203.94000244140625,205.89999389648438,206.57000732421875,16169700.0,206.57000732421875,0.42,1.0928,0.1366,0.0,0.0,0.0,6.017326927946489,15.122820303870538,33.919654890661484
2020-06-02,214.57000732421875,207.1699981689453,207.2100067138672,214.3300018310547,22485800.0,214.3300018310547,0.42,1.2645,0.4215,0.0,0.0,0.0,2.981383537095915,15.122820303870538,33.919654890661484
2020-06-03,218.97000122070312,213.75,215.60000610351562,218.61000061035156,19999500.0,218.61000061035156,0.42,2.8455,0.9485,0.0,0.0,0.0,2.319194936770708,15.122820303870538,36.315813168653904
2020-06-04,220.0,216.32000732421875,217.27999877929688,218.0399932861328,14962400.0,218.0399932861328,0.42,2.8455,0.9485,0.0,0.0,0.0,-1.284162483574442,14.006608643050347,35.78701909777053
2020-06-05,220.58999633789062,218.6999969482422,220.0,219.5500030517578,11983200.0,219.5500030517578,0.42,2.8455,0.9485,0.0,0.0,0.0,-0.8699629403599239,13.50945263030453,28.672282429165826
2020-06-06,220.52666219075522,217.57666524251303,219.86666870117188,219.36666870117188,12232533.333333334,219.36666870117188,0.42,2.8455,0.9485,0.0,0.0,0.0,-0.879823272371323,13.591003261444902,27.081244921806906
2020-06-07,220.46332804361978,216.45333353678384,219.73333740234375,219.18333435058594,12481866.666666666,219.18333435058594,0.42,2.8455,0.9485,0.0,0.0,0.0,-0.889683604382722,13.672553892585274,25.490207414447987
2020-06-08,220.39999389648438,215.3300018310547,219.60000610351562,219.0,12731200.0,219.0,0.42,2.8455,0.9485,0.0,0.0,0.0,-0.899543936394121,13.754104523725648,23.899169907089068
2020-06-09,220.72000122070312,216.1999969482422,216.30999755859375,220.72000122070312,14140100.0,220.72000122070312,0.42,2.8455,0.9485,0.0,0.0,0.0,0.8608163673325311,13.83565515486602,22.30813239973015
2020-06-10,225.0,220.60000610351562,222.0,223.67999267578125,13372400.0,223.67999267578125,0.42,1.2057,0.4019,0.0,0.0,0.0,0.25483160894276397,13.917205786006392,20.717094892371232
2020-06-11,219.9499969482422,213.55999755859375,218.0,215.24000549316406,15560300.0,215.24000549316406,0.42,1.2057,0.4019,0.0,0.0,0.0,3.8561547951792603,19.819730214918238,26.904844325122223
2020-06-12,219.5,213.8800048828125,218.5,217.63999938964844,12716500.0,217.63999938964844,0.42,1.2057,0.4019,0.0,0.0,0.0,1.3784230878575754,15.64969566904609,22.932360109946853
2020-06-13,218.90666707356772,213.50333658854166,217.0366668701172,217.4366658528646,14284300.0,217.4366658528646,0.42,1.2057,0.4019,0.0,0.0,0.0,1.5916675363778878,14.893000736828986,22.980423181402237
2020-06-14,218.3133341471354,213.12666829427084,215.57333374023438,217.23333231608072,15852100.0,217.23333231608072,0.42,1.2057,0.4019,0.0,0.0,0.0,1.8049119848982005,14.13630580461188,23.028486252857622
2020-06-15,217.72000122070312,212.75,214.11000061035156,217.02999877929688,17419900.0,217.02999877929688,0.42,1.2057,0.4019,0.0,0.0,0.0,2.018156433418513,13.379610872394775,23.076549324313007
2020-06-16,224.83999633789062,220.10000610351562,221.0,222.6199951171875,17212400.0,222.6199951171875,0.42,1.2057,0.4019,0.0,0.0,0.0,2.753573361451947,12.62291594017767,23.12461239576839
2020-06-17,225.0,222.5,224.39999389648438,224.25,12486700.0,224.25,0.42,1.2057,0.4019,0.0,0.0,0.0,0.8784843793547938,11.866221007960563,23.95094379267698
2020-06-18,226.02999877929688,222.9199981689453,223.74000549316406,223.5399932861328,10358800.0,223.5399932861328,0.42,0.0,0.0,0.0,0.0,0.0,-0.6173345555473113,11.411832572157236,24.425169098227656
2020-06-19,226.5,220.08999633789062,226.3800048828125,220.63999938964844,19545200.0,220.63999938964844,0.42,0.0,0.0,0.0,0.0,0.0,-2.2344056786706763,14.417149042145144,24.96374274085446
2020-06-20,225.02666727701822,219.875,224.56000264485678,220.89666748046875,17464666.666666668,220.89666748046875,0.42,0.25,0.08333333333333333,0.0,0.0,0.0,-2.4516198470782236,14.338069074538254,23.648490916211202
2020-06-21,223.55333455403647,219.66000366210938,222.74000040690103,221.15333557128906,15384133.333333334,221.15333557128906,0.42,0.5,0.16666666666666666,0.0,0.0,0.0,-2.6688340154857713,14.258989106931361,22.33323909156794
2020-06-22,222.0800018310547,219.44500732421875,220.9199981689453,221.41000366210938,13303600.0,221.41000366210938,0.42,0.75,0.25,0.0,0.0,0.0,-2.8860481838933185,14.17990913932447,21.01798726692468
2020-06-23,230.22500610351562,224.52999877929688,225.1199951171875,228.75,18263400.0,228.75,0.42,0.0,0.0,0.0,0.0,0.0,-5.704919366888661,14.100829171717578,19.702735442281423
2020-06-24,231.02999877929688,224.2519989013672,228.3000030517578,226.22000122070312,12159500.0,226.22000122070312,0.42,0.0,0.0,0.0,0.0,0.0,-4.539830349678669,14.021749204110687,21.691277101685376
2020-06-25,224.69000244140625,220.8699951171875,224.58999633789062,222.16000366210938,14953100.0,222.16000366210938,0.42,0.0,0.0,0.0,0.0,0.0,0.6481825790732333,18.023050002204748,22.86190480180677
2020-06-26,222.25999450683594,213.5,222.2100067138672,215.7100067138672,19340600.0,215.7100067138672,0.42,0.0,0.0,0.0,0.0,0.0,3.3905173676582154,22.808398042240338,25.042882847858255
2020-06-27,220.33999633789062,212.94000244140625,219.8166707356771,215.4800059000651,17004733.333333332,215.4800059000651,0.42,0.0,0.0,0.0,0.0,0.0,6.132852156243198,21.22703872916908,25.772196172826753
2020-06-28,218.4199981689453,212.3800048828125,217.42333475748697,215.25000508626303,14668866.666666668,215.25000508626303,0.42,0.0,0.0,0.0,0.0,0.0,8.875186944828181,19.64567941609782,26.50150949779525
2020-06-29,216.5,211.82000732421875,215.02999877929688,215.02000427246094,12333000.0,215.02000427246094,0.42,0.0,0.0,0.0,0.0,0.0,11.617521733413163,18.064320103026564,27.23082282276375
2020-06-30,216.42999267578125,212.88999938964844,215.74000549316406,215.6999969482422,12933800.0,215.6999969482422,0.42,0.0,0.0,0.0,0.0,0.0,9.647657789993927,16.482960789955307,27.960136147732246
