,High,Low,Open,Close,Volume,Adj Close,Surprise_EPS,Total Sentiment,Avg Sentiment,Weekly Sentiment,Monthly Sentiment,Quarterly Sentiment,weekly stock,monthly stock,quarterly stock
2020-06-01,1441.5799560546875,1422.280029296875,1425.699951171875,1434.8699951171875,1258100.0,1434.8699951171875,-0.53,1.2248,0.6124,0.0,0.0,0.0,0.917856251097988,5.070695186294945,12.980563339179938
2020-06-02,1443.0,1421.6099853515625,1435.0,1442.31005859375,1172100.0,1442.31005859375,-0.53,1.2248,0.6124,0.0,0.0,0.0,0.6773784459676537,5.070695186294945,12.980563339179938
2020-06-03,1449.010009765625,1431.6199951171875,1442.699951171875,1439.25,1386600.0,1439.25,-0.53,1.2248,0.6124,0.0,0.0,0.0,1.7682786987580337,5.070695186294945,14.99600181029616
2020-06-04,1441.3199462890625,1406.010009765625,1436.780029296875,1414.300048828125,1349100.0,1414.300048828125,-0.53,1.2248,0.6124,0.0,0.0,0.0,-0.8767605165775846,7.5344646004737115,21.430386435427888
2020-06-05,1446.300048828125,1407.6199951171875,1415.6400146484375,1440.02001953125,2132100.0,1440.02001953125,-0.53,1.2248,0.6124,0.0,0.0,0.0,-1.8819165857679523,5.337424779454224,13.158844159406694
2020-06-06,1447.2000325520833,1413.239990234375,1419.1866861979167,1442.693359375,1986033.3333333333,1442.693359375,-0.53,1.2248,0.6124,0.0,0.0,0.0,-1.8830478428032411,5.62366438085742,11.331335945776047
2020-06-07,1448.1000162760417,1418.8599853515625,1422.7333577473958,1445.36669921875,1839966.6666666667,1445.36669921875,-0.53,1.2248,0.6124,0.0,0.0,0.0,-1.8841790998385297,5.909903982260617,9.5038277321454
2020-06-08,1449.0,1424.47998046875,1426.280029296875,1448.0400390625,1693900.0,1448.0400390625,-0.53,1.2248,0.6124,0.0,0.0,0.0,-1.8853103568738185,6.196143583663813,7.676319518514752
2020-06-09,1467.800048828125,1442.3599853515625,1445.239990234375,1452.0799560546875,1681200.0,1452.0799560546875,-0.53,1.2248,0.6124,0.0,0.0,0.0,-0.3863413531858723,6.482383185067009,5.848811304884105
2020-06-10,1472.77001953125,1454.3599853515625,1461.510009765625,1464.699951171875,1588100.0,1464.699951171875,-0.53,-0.5,-0.25,0.0,0.0,0.0,-0.8301981644531439,6.768622786470205,4.021303091253458
2020-06-11,1451.5999755859375,1398.4100341796875,1441.030029296875,1401.9000244140625,2357200.0,1401.9000244140625,-0.53,-0.5,-0.25,0.0,0.0,0.0,2.2983073073696283,10.986519498465958,10.366641951905917
2020-06-12,1434.510009765625,1385.800048828125,1425.8599853515625,1412.9200439453125,1833800.0,1412.9200439453125,-0.53,-0.5,-0.25,0.0,0.0,0.0,0.8294857697962295,10.752903696969954,8.006822846600599
2020-06-13,1431.3400065104167,1386.2666829427083,1413.7366536458333,1415.5266927083333,1730333.3333333333,1415.5266927083333,-0.53,-0.5,-0.25,0.0,0.0,0.0,1.254973145510494,9.661020309534177,7.082913193883659
2020-06-14,1428.1700032552083,1386.7333170572917,1401.6133219401042,1418.1333414713542,1626866.6666666667,1418.1333414713542,-0.53,-0.5,-0.25,0.0,0.0,0.0,1.6804605212247585,8.569136922098401,6.159003541166718
2020-06-15,1425.0,1387.199951171875,1389.489990234375,1420.739990234375,1523400.0,1420.739990234375,-0.53,-0.5,-0.25,0.0,0.0,0.0,2.105947896939023,7.4772535346626245,5.235093888449777
2020-06-16,1457.1700439453125,1428.989990234375,1449.0,1446.469970703125,1532400.0,1446.469970703125,-0.53,-0.5,-0.25,0.0,0.0,0.0,1.2105339288249057,6.385370147226848,4.311184235732837
2020-06-17,1462.199951171875,1435.1300048828125,1452.93994140625,1452.5400390625,1530500.0,1452.5400390625,-0.53,4.1866,0.523325,0.0,0.0,0.0,-1.3658892255686261,5.2934867597910715,5.6852103097954085
2020-06-18,1452.969970703125,1426.239990234375,1449.8499755859375,1434.1199951171875,1743100.0,1434.1199951171875,-0.53,2.6358,0.4393,0.0,0.0,0.0,0.4867082595957836,4.848271381307492,5.4367815084227855
2020-06-19,1444.5,1419.0,1440.0,1424.6400146484375,2639200.0,1424.6400146484375,-0.53,0.0,0.0,0.0,0.0,0.0,-4.358994198352774,6.939998462810687,4.380055577019654
2020-06-20,1446.6499837239583,1419.0633138020833,1435.0033365885417,1433.3133544921875,2250166.6666666665,1433.3133544921875,-0.53,-0.43979999999999997,-0.21989999999999998,0.0,0.0,0.0,-4.1350916008281455,6.250820021031778,2.7071655117825846
2020-06-21,1448.7999674479167,1419.1266276041667,1430.0066731770833,1441.9866943359375,1861133.3333333335,1441.9866943359375,-0.53,-0.8795999999999999,-0.43979999999999997,0.0,0.0,0.0,-3.9111890033035173,5.561641579252869,1.0342754465455153
2020-06-22,1450.949951171875,1419.18994140625,1425.010009765625,1450.6600341796875,1472100.0,1450.6600341796875,-0.53,-1.3194,-0.6597,0.0,0.0,0.0,-3.687286405778889,4.87246313747396,-0.6386146186915536
2020-06-23,1475.199951171875,1445.0,1452.0,1463.97998046875,1887600.0,1463.97998046875,-0.53,2.41,0.241,0.0,0.0,0.0,-3.1373333142109465,4.1832846956950505,-2.3115046839286233
2020-06-24,1475.7900390625,1430.0,1463.280029296875,1432.699951171875,1579600.0,1432.699951171875,-0.53,2.41,0.241,0.0,0.0,0.0,0.6491274617911473,3.494106253916142,1.8929291576372804
2020-06-25,1442.3199462890625,1419.5400390625,1431.219970703125,1441.0999755859375,1197900.0,1441.0999755859375,-0.53,0.8479999999999999,0.07066666666666667,0.0,0.0,0.0,2.000560586594831,2.234409394746902,-2.2003997970097133
2020-06-26,1437.02001953125,1355.0,1432.6300048828125,1362.5400390625,4882000.0,1362.5400390625,-0.53,0.0,0.0,0.0,0.0,0.0,3.3341267399210395,8.553871696717628,4.4270219266779005
2020-06-27,1424.0133463541667,1353.8833414713542,1408.5333251953125,1374.0833740234375,4005900.0,1374.0833740234375,-0.53,0.32926666666666665,0.16463333333333333,0.0,0.0,0.0,4.6676928932472475,7.603429483435996,4.036214118807431
2020-06-28,1411.0066731770833,1352.7666829427083,1384.4366455078125,1385.626708984375,3129800.0,1385.626708984375,-0.53,0.6585333333333333,0.32926666666666665,0.0,0.0,0.0,6.001259046573457,6.652987270154363,3.645406310936962
2020-06-29,1398.0,1351.6500244140625,1360.3399658203125,1397.1700439453125,2253700.0,1397.1700439453125,-0.53,0.9878,0.4939,0.0,0.0,0.0,7.334825199899665,5.702545056872731,3.254598503066492
2020-06-30,1424.0,1386.9300537109375,1396.8800048828125,1418.050048828125,2014300.0,1418.050048828125,-0.53,1.2248,0.3062,0.0,0.0,0.0,5.06822697665578,4.752102843591098,2.863790695196023
2020-07-01,1448.47998046875,1414.1800537109375,1419.1700439453125,1442.0,2109100.0,1442.0,-0.53,-1.1148,-0.1858,0.0,0.0,0.0,4.271842967124654,3.801660630309466,1.665743379420943
2020-07-02,1488.52001953125,1451.0699462890625,1451.8399658203125,1469.9300537109375,2860900.0,1469.9300537109375,-0.53,1.2504,0.1563,0.0,0.0,0.0,3.3151223995813868,0.7218020561438877,-0.2945771544753729
2020-07-03,1493.8900146484375,1457.5474548339844,1460.91748046875,1477.3600463867188,2704575.0,1477.3600463867188,-0.53,1.2165,0.1869,0.0,0.0,0.0,2.6960566639858405,0.7416100628998383,-0.3308357957654127
2020-07-04,1499.260009765625,1464.0249633789062,1469.9949951171875,1484.7900390625,2548250.0,1484.7900390625,-0.53,1.1825999999999999,0.2175,0.0,0.0,0.0,2.0769909283902943,0.7614180696557891,-0.3670944370554525
2020-07-05,1504.6300048828125,1470.5024719238281,1479.072509765625,1492.2200317382812,2391925.0,1492.2200317382812,-0.53,1.1487,0.2481,0.0,0.0,0.0,1.457925192794748,0.7812260764117397,-0.4033530783454924
2020-07-06,1510.0,1476.97998046875,1488.1500244140625,1499.6500244140625,2235600.0,1499.6500244140625,-0.53,1.1148,0.2787,0.0,0.0,0.0,0.8388594571992017,0.8010340831676903,-0.4396117196355322
2020-07-07,1521.3199462890625,1489.699951171875,1496.1300048828125,1489.9200439453125,2118200.0,1489.9200439453125,-0.53,0.0020000000000000018,0.00033333333333333365,0.0,0.0,0.0,2.0766175696462845,0.820842089923641,-0.475870360925572
2020-07-08,1511.1700439453125,1492.300048828125,1500.800048828125,1503.5999755859375,1588300.0,1503.5999755859375,-0.53,1.4580000000000002,0.3645,0.0,0.0,0.0,0.8832155834333469,0.8406500966795917,-3.496937809818574
2020-07-09,1529.1400146484375,1495.5899658203125,1509.9300537109375,1518.6600341796875,2091800.0,1518.6600341796875,-0.53,1.4324,0.2387333333333333,0.0,0.0,0.0,-0.24626908921029034,2.4442596948459285,-3.919245795086723
2020-07-10,1541.3399658203125,1500.719970703125,1513.25,1539.010009765625,1795900.0,1539.010009765625,-0.53,1.341,0.6705,0.0,0.0,0.0,-1.4398888921497164,0.3638686915876731,-3.6114096530893742
