,High,Low,Open,Close,Volume,Adj Close,Surprise_EPS,Total Sentiment,Avg Sentiment,Weekly Sentiment,Monthly Sentiment,Quarterly Sentiment,weekly stock,monthly stock,quarterly stock
2020-06-01,860.7100219726562,842.0,852.6699829101562,844.0800170898438,298900.0,844.0800170898438,-0.01,1.7109,0.5703,0.0,0.0,0.0,1.7510150652157392,15.049436244321395,35.91890148221641
2020-06-02,867.22998046875,837.760009765625,844.5,859.77001953125,469000.0,859.77001953125,-0.01,1.7109,0.5703,0.0,0.0,0.0,0.7746226308475251,15.049436244321395,35.91890148221641
2020-06-03,874.0,850.6500244140625,865.4600219726562,853.52001953125,489400.0,853.52001953125,-0.01,0.0,0.0,0.0,0.0,0.0,3.89680487915108,15.049436244321395,41.67916183497911
2020-06-04,877.6799926757812,838.0900268554688,849.0499877929688,839.989990234375,452600.0,839.989990234375,-0.01,0.9446,0.23615,0.0,0.0,0.0,1.786927218196599,15.790666102036303,42.37788245593282
2020-06-05,871.0,839.52001953125,850.0,866.9299926757812,414000.0,866.9299926757812,-0.01,1.3746,0.19637142857142856,0.0,0.0,0.0,3.40281225118861,12.07710116059942,25.398821623622613
2020-06-06,870.0166625976562,839.8233439127604,855.6466674804688,864.239990234375,466366.6666666667,864.239990234375,-0.01,1.3746,0.19637142857142856,0.0,0.0,0.0,4.79669959250485,12.77474222297708,23.380695935655297
2020-06-07,869.0333251953125,840.1266682942709,861.2933349609375,861.5499877929688,518733.3333333333,861.5499877929688,-0.01,1.3746,0.19637142857142856,0.0,0.0,0.0,6.1905869338210895,13.472383285354741,21.36257024768798
2020-06-08,868.0499877929688,840.4299926757812,866.9400024414062,858.8599853515625,571100.0,858.8599853515625,-0.01,1.3746,0.19637142857142856,0.0,0.0,0.0,7.58447427513733,14.1700243477324,19.344444559720664
2020-06-09,876.72998046875,848.6900024414062,849.75,866.4299926757812,388500.0,866.4299926757812,-0.01,1.3746,0.19637142857142856,0.0,0.0,0.0,9.675336472477472,14.86766541011006,17.326318871753347
2020-06-10,892.9400024414062,863.02001953125,877.0,886.780029296875,448300.0,886.780029296875,-0.01,1.3746,0.19637142857142856,0.0,0.0,0.0,5.519965442916803,15.565306472487721,15.308193183786031
2020-06-11,889.8699951171875,845.8599853515625,873.6199951171875,855.0,485300.0,855.0,-0.01,1.3746,0.19637142857142856,0.0,0.0,0.0,8.306435032894736,19.16959349872076,23.665493078399123
2020-06-12,900.7999877929688,869.22998046875,874.4299926757812,896.4299926757812,761700.0,896.4299926757812,-0.01,1.3746,0.19637142857142856,0.0,0.0,0.0,6.306128728260953,13.716634090480298,16.126189299745782
2020-06-13,913.9933268229166,871.82666015625,878.239990234375,905.6199951171875,723733.3333333334,905.6199951171875,-0.01,1.3183,0.2648809523809524,0.0,0.0,0.0,6.3880677101589525,13.85255585369009,14.370598262472175
2020-06-14,927.1866658528646,874.42333984375,882.0499877929688,914.8099975585938,685766.6666666666,914.8099975585938,-0.01,1.262,0.3333904761904762,0.0,0.0,0.0,6.470006692056951,13.988477616899882,12.615007225198568
2020-06-15,940.3800048828125,877.02001953125,885.8599853515625,924.0,647800.0,924.0,-0.01,1.2057,0.4019,0.0,0.0,0.0,6.55194567395495,14.124399380109672,10.859416187924962
2020-06-16,964.8400268554688,923.25,958.02001953125,950.260009765625,633300.0,950.260009765625,-0.01,2.9082,0.9694,0.0,0.0,0.0,2.8655294539297813,14.260321143319464,9.103825150651355
2020-06-17,967.27001953125,928.6599731445312,960.3099975585938,935.72998046875,491800.0,935.72998046875,-0.01,2.9082,0.9694,0.0,0.0,0.0,1.9279107690300699,14.396242906529256,10.07341986824082
2020-06-18,937.5700073242188,922.0900268554688,930.0,926.02001953125,439800.0,926.02001953125,-0.01,2.9082,0.9694,0.0,0.0,0.0,4.904859717087734,12.261078234569249,8.3129931151723
2020-06-19,961.989990234375,922.5,929.1900024414062,952.9600219726562,507200.0,952.9600219726562,-0.01,2.9082,0.9694,0.0,0.0,0.0,2.1207564295997186,14.056204784934279,2.8532154355354926
2020-06-20,970.9933268229166,932.6700032552084,937.4400024414062,963.4866739908854,505500.0,963.4866739908854,-0.01,2.9082,0.9694,0.0,0.0,0.0,1.2882303642196486,15.834119936953572,3.0222735533642364
2020-06-21,979.9966634114584,942.8400065104166,945.6900024414062,974.0133260091146,503800.0,974.0133260091146,-0.01,2.9082,0.9694,0.0,0.0,0.0,0.45570429883957875,17.612035088972863,3.1913316711929802
2020-06-22,989.0,953.010009765625,953.9400024414062,984.5399780273438,502100.0,984.5399780273438,-0.01,2.9082,0.9694,0.0,0.0,0.0,-0.3768217665404911,19.389950240992157,3.3603897890217245
2020-06-23,998.1099853515625,976.3800048828125,995.2999877929688,977.489990234375,457000.0,977.489990234375,-0.01,1.6542,0.2757,0.0,0.0,0.0,0.847070494797566,21.16786539301145,3.5294479068504683
2020-06-24,988.52001953125,942.0,978.3400268554688,953.77001953125,460300.0,953.77001953125,-0.01,1.6542,0.2757,0.0,0.0,0.0,2.450275709931957,22.945780545030743,11.239601683491857
2020-06-25,972.9500122070312,944.3499755859375,950.3499755859375,971.4400024414062,333100.0,971.4400024414062,-0.01,1.6542,0.2757,0.0,0.0,0.0,1.7479185977596359,20.844318821608823,5.097589084945765
2020-06-26,985.030029296875,952.6199951171875,974.510009765625,973.1699829101562,500800.0,973.1699829101562,-0.01,-0.5672,-0.1418,0.0,0.0,0.0,1.6958164327675327,25.923525457218034,6.315445713694016
2020-06-27,985.6866861979166,951.739990234375,973.1066691080729,975.7233276367188,445700.0,975.7233276367188,-0.01,-0.5672,-0.1418,0.0,0.0,0.0,1.6437142677754297,23.751081489852176,7.466938020081844
2020-06-28,986.3433430989584,950.8599853515625,971.7033284505209,978.2766723632812,390600.0,978.2766723632812,-0.01,-0.5672,-0.1418,0.0,0.0,0.0,1.5916121027833268,21.578637522486318,8.61843032646967
2020-06-29,987.0,949.97998046875,970.2999877929688,980.8300170898438,335500.0,980.8300170898438,-0.01,-0.5672,-0.1418,0.0,0.0,0.0,1.5395099377912236,19.40619355512046,9.769922632857497
2020-06-30,989.989990234375,971.010009765625,982.0,985.77001953125,301000.0,985.77001953125,-0.01,1.9818,0.9909,0.0,0.0,0.0,2.1779898229542756,17.233749587754602,10.921414939245325
2020-07-01,993.0499877929688,968.8300170898438,985.0,977.1400146484375,525600.0,977.1400146484375,-0.01,1.9818,0.9909,0.0,0.0,0.0,3.874571175471106,15.061305620388744,10.82035111485945
2020-07-02,997.989990234375,982.5999755859375,991.9099731445312,988.4199829101562,316700.0,988.4199829101562,-0.01,0.4046,0.2023,0.0,0.0,0.0,2.9370135973377747,11.289738045048395,9.516197485370292
