Date,Adj Close,Volume,Surprise_EPS,Total Sentiment,Avg Sentiment
2020-06-01,206.57000732421875,16169700,0.42,1.0928,0.1366
2020-06-02,214.3300018310547,22485800,0.42,1.2645,0.4215
2020-06-03,218.61000061035156,19999500,0.42,2.8455,0.9485
2020-06-04,218.0399932861328,14962400,0.42,2.8455,0.9485
2020-06-05,219.5500030517578,11983200,0.42,2.8455,0.9485
2020-06-08,219.0,12731200,0.42,2.8455,0.9485
2020-06-09,220.72000122070312,14140100,0.42,2.8455,0.9485
2020-06-10,223.67999267578125,13372400,0.42,1.2057,0.4019
2020-06-11,215.24000549316406,15560300,0.42,1.2057,0.4019
2020-06-12,217.63999938964844,12716500,0.42,1.2057,0.4019
2020-06-15,217.02999877929688,17419900,0.42,1.2057,0.4019
2020-06-16,222.6199951171875,17212400,0.42,1.2057,0.4019
2020-06-17,224.25,12486700,0.42,1.2057,0.4019
2020-06-18,223.5399932861328,10358800,0.42,0.0,0.0
2020-06-19,220.63999938964844,19545200,0.42,0.0,0.0
2020-06-22,221.41000366210938,13303600,0.42,0.75,0.25
2020-06-23,228.75,18263400,0.42,0.0,0.0
2020-06-24,226.22000122070312,12159500,0.42,0.0,0.0
2020-06-25,222.16000366210938,14953100,0.42,0.0,0.0
2020-06-26,215.7100067138672,19340600,0.42,0.0,0.0
2020-06-29,215.02000427246094,12333000,0.42,0.0,0.0
2020-06-30,215.6999969482422,12933800,0.42,0.0,0.0
2020-07-01,215.9499969482422,11788100,0.42,0.0,0.0
2020-07-02,223.60000610351562,18128700,0.42,1.3194,0.26388
2020-07-06,240.0,33702900,0.42,1.3514,0.6757
2020-07-07,236.50999450683594,16491600,0.42,1.3514,0.6757
2020-07-08,257.67999267578125,39922700,0.42,1.3514,0.6757
2020-07-09,261.5799865722656,36803900,0.42,0.0011000000000000454,0.0002200000000000091
2020-07-10,261.010009765625,20335000,0.42,0.0011000000000000454,0.0002200000000000091
2020-07-13,251.6699981689453,21568700,0.42,0.0011000000000000454,0.0002200000000000091
2020-07-14,248.5800018310547,19782600,0.42,0.0011000000000000454,0.0002200000000000091
2020-07-15,249.2100067138672,12614700,0.42,0.0011000000000000454,0.0002200000000000091
2020-07-16,242.5,18032100,0.42,0.0011000000000000454,0.0002200000000000091
2020-07-17,247.13999938964844,18742400,0.42,0.0011000000000000454,0.0002200000000000091
2020-07-20,254.80999755859375,19015000,0.42,0.0,0.0
2020-07-21,257.8999938964844,17120700,0.42,0.75,0.25
2020-07-22,251.6999969482422,19682200,0.42,0.75,0.25
2020-07-23,251.8800048828125,25712000,0.42,0.75,0.25
2020-07-24,249.0,17221500,0.42,0.75,0.25
2020-07-27,250.86000061035156,18966900,0.42,-1.341,-0.6705
2020-07-28,249.0500030517578,9878700,0.42,0.0,0.0
2020-07-29,252.4499969482422,11493600,0.42,0.0,0.0
2020-07-30,252.74000549316406,7032900,0.42,3.3561000000000005,0.6712200000000001
2020-07-31,251.02000427246094,12304100,0.42,3.3561000000000005,0.6712200000000001
2020-08-03,257.94000244140625,11530300,0.42,3.3561000000000005,0.6712200000000001
2020-08-04,262.20001220703125,10994500,0.42,3.3561000000000005,0.6712200000000001
2020-08-05,264.9100036621094,10673800,0.42,3.3561000000000005,0.6712200000000001
2020-08-06,265.67999267578125,10359500,0.42,3.3561000000000005,0.6712200000000001
2020-08-07,252.10000610351562,22529600,0.42,3.3561000000000005,0.6712200000000001
2020-08-10,248.1300048828125,13621700,0.42,3.3561000000000005,0.6712200000000001
2020-08-11,248.4199981689453,10681800,0.42,3.3561000000000005,0.6712200000000001
2020-08-12,255.19000244140625,11112300,0.42,3.3561000000000005,0.6712200000000001
2020-08-13,253.72000122070312,8794500,0.42,3.3561000000000005,0.6712200000000001
2020-08-14,253.97000122070312,7876400,0.42,3.3561000000000005,0.6712200000000001
2020-08-17,256.9599914550781,9760000,0.42,3.3561000000000005,0.6712200000000001
2020-08-18,259.20001220703125,13267800,0.42,3.3561000000000005,0.6712200000000001
2020-08-19,260.5899963378906,14096500,0.42,3.3561000000000005,0.6712200000000001
2020-08-20,257.9700012207031,21460800,0.13,3.3561000000000005,0.6712200000000001
2020-08-21,265.79998779296875,25648200,0.13,3.3561000000000005,0.6712200000000001
2020-08-24,276.0199890136719,22475800,0.13,3.3561000000000005,0.6712200000000001
2020-08-25,286.0,27535500,0.13,3.3561000000000005,0.6712200000000001
2020-08-26,291.9599914550781,19530300,0.13,3.3561000000000005,0.6712200000000001
2020-08-27,284.1700134277344,14805800,0.13,3.3561000000000005,0.6712200000000001
2020-08-28,289.0,9681500,0.13,3.3561000000000005,0.6712200000000001
2020-08-31,287.0299987792969,13253800,0.13,3.3561000000000005,0.6712200000000001
2020-09-01,298.0,13797100,0.13,3.3561000000000005,0.6712200000000001
2020-09-02,296.07000732421875,12638600,0.13,3.3561000000000005,0.6712200000000001
2020-09-03,282.5,16766200,0.13,3.3561000000000005,0.6712200000000001
2020-09-04,281.3900146484375,15885800,0.13,3.3561000000000005,0.6712200000000001
2020-09-08,270.0199890136719,12734000,0.13,3.3561000000000005,0.6712200000000001
2020-09-09,273.1499938964844,9465700,0.13,3.3561000000000005,0.6712200000000001
2020-09-10,267.54998779296875,10676800,0.13,3.3561000000000005,0.6712200000000001
2020-09-11,271.6099853515625,9412800,0.13,3.3561000000000005,0.6712200000000001
2020-09-14,274.1000061035156,7883300,0.13,3.3561000000000005,0.6712200000000001
2020-09-15,277.9599914550781,8291400,0.13,3.3561000000000005,0.6712200000000001
2020-09-16,278.1400146484375,9583500,0.13,3.3561000000000005,0.6712200000000001
2020-09-17,275.7200012207031,8016900,0.13,3.3561000000000005,0.6712200000000001
2020-09-18,272.4100036621094,11753500,0.13,3.3561000000000005,0.6712200000000001
2020-09-21,273.82000732421875,9076400,0.13,3.3561000000000005,0.6712200000000001
2020-09-22,275.2900085449219,9673300,0.13,3.3561000000000005,0.6712200000000001
2020-09-23,272.95001220703125,7353200,0.13,3.3561000000000005,0.6712200000000001
2020-09-24,269.7300109863281,9562100,0.13,3.3561000000000005,0.6712200000000001
2020-09-25,271.0899963378906,11466600,0.13,3.3561000000000005,0.6712200000000001
2020-09-28,276.010009765625,8761700,0.13,3.3561000000000005,0.6712200000000001
2020-09-29,276.92999267578125,7673300,0.13,3.3561000000000005,0.6712200000000001
2020-09-30,293.9800109863281,24777700,0.13,3.3561000000000005,0.6712200000000001
2020-10-01,290.04998779296875,16304000,0.13,3.3561000000000005,0.6712200000000001
2020-10-02,288.1700134277344,11482800,0.13,3.3561000000000005,0.6712200000000001
2020-10-05,288.2699890136719,17876400,0.13,3.3561000000000005,0.6712200000000001
2020-10-06,292.3900146484375,15860400,0.13,3.3561000000000005,0.6712200000000001
2020-10-07,296.5,16669300,0.13,3.3561000000000005,0.6712200000000001
2020-10-08,300.5400085449219,15105800,0.13,3.3561000000000005,0.6712200000000001
2020-10-09,299.739990234375,11442200,0.13,3.3561000000000005,0.6712200000000001
2020-10-12,306.3399963378906,14780100,0.13,3.3561000000000005,0.6712200000000001
2020-10-13,308.7799987792969,10898500,0.13,3.3561000000000005,0.6712200000000001
2020-10-14,301.0400085449219,15157800,0.13,3.3561000000000005,0.6712200000000001
