Date,Adj Close,Volume,Surprise_EPS,Total Sentiment,Avg Sentiment
2020-06-01,844.0800170898438,298900,-0.01,1.7109,0.5703
2020-06-02,859.77001953125,469000,-0.01,1.7109,0.5703
2020-06-03,853.52001953125,489400,-0.01,0.0,0.0
2020-06-04,839.989990234375,452600,-0.01,0.9446,0.23615
2020-06-05,866.9299926757812,414000,-0.01,1.3746,0.19637142857142859
2020-06-08,858.8599853515625,571100,-0.01,1.3746,0.19637142857142859
2020-06-09,866.4299926757812,388500,-0.01,1.3746,0.19637142857142859
2020-06-10,886.780029296875,448300,-0.01,1.3746,0.19637142857142859
2020-06-11,855.0,485300,-0.01,1.3746,0.19637142857142859
2020-06-12,896.4299926757812,761700,-0.01,1.3746,0.19637142857142859
2020-06-15,924.0,647800,-0.01,1.2057,0.4019
2020-06-16,950.260009765625,633300,-0.01,2.9082,0.9693999999999999
2020-06-17,935.72998046875,491800,-0.01,2.9082,0.9693999999999999
2020-06-18,926.02001953125,439800,-0.01,2.9082,0.9693999999999999
2020-06-19,952.9600219726562,507200,-0.01,2.9082,0.9693999999999999
2020-06-22,984.5399780273438,502100,-0.01,2.9082,0.9693999999999999
2020-06-23,977.489990234375,457000,-0.01,1.6542,0.2757
2020-06-24,953.77001953125,460300,-0.01,1.6542,0.2757
2020-06-25,971.4400024414062,333100,-0.01,1.6542,0.2757
2020-06-26,973.1699829101562,500800,-0.01,-0.5672,-0.1418
2020-06-29,980.8300170898438,335500,-0.01,-0.5672,-0.1418
2020-06-30,985.77001953125,301000,-0.01,1.9818,0.9909
2020-07-01,977.1400146484375,525600,-0.01,1.9818,0.9909
2020-07-02,988.4199829101562,316700,-0.01,0.4046,0.2023
2020-07-06,995.9299926757812,626400,-0.01,-1.1438,-0.5719
2020-07-07,1007.239990234375,408300,-0.01,-1.1438,-0.5719
2020-07-08,1015.0,386000,-0.01,2.5784000000000002,0.6446000000000001
2020-07-09,1017.4500122070312,455500,-0.01,0.0,0.0
2020-07-10,1035.8299560546875,292500,-0.01,0.0,0.0
2020-07-13,981.969970703125,539000,-0.01,0.7224,0.3612
2020-07-14,972.6300048828125,659600,-0.01,0.7224,0.3612
2020-07-15,971.6300048828125,528500,-0.01,0.7224,0.3612
2020-07-16,956.6199951171875,329500,-0.01,0.7224,0.3612
2020-07-17,964.719970703125,302800,-0.01,0.7224,0.3612
2020-07-20,1024.81005859375,458700,-0.01,1.527,0.7635
2020-07-21,1018.9000244140625,405100,-0.01,1.527,0.7635
2020-07-22,1019.3900146484375,341800,-0.01,1.527,0.7635
2020-07-23,982.2999877929688,379600,-0.01,0.4526,0.11315
2020-07-24,988.989990234375,449400,-0.01,1.0974,0.27435
2020-07-27,1070.43994140625,563000,-0.01,1.0046,0.5023
2020-07-28,1039.56005859375,298000,-0.01,1.649,0.23557142857142857
2020-07-29,1086.9100341796875,475500,-0.01,0.0,0.0
2020-07-30,1107.5,781800,-0.01,1.4782,0.7391
2020-07-31,1124.6199951171875,726400,-0.01,1.4782,0.7391
2020-08-03,1172.6199951171875,521100,-0.01,1.4782,0.7391
2020-08-04,1173.9300537109375,396400,-0.01,1.4782,0.7391
2020-08-05,1225.449951171875,620200,-0.01,1.4782,0.7391
2020-08-06,1219.9599609375,423900,-0.01,1.4782,0.7391
2020-08-07,1193.969970703125,878200,-0.01,1.4782,0.7391
2020-08-10,1124.31005859375,1101600,1.01,1.4782,0.7391
2020-08-11,1100.010009765625,670200,1.01,1.4782,0.7391
2020-08-12,1111.6400146484375,566800,1.01,1.4782,0.7391
2020-08-13,1157.050048828125,839000,1.01,1.4782,0.7391
2020-08-14,1156.43994140625,351100,1.01,1.4782,0.7391
2020-08-17,1189.8699951171875,429000,1.01,1.4782,0.7391
2020-08-18,1208.6400146484375,443200,1.01,1.4782,0.7391
2020-08-19,1212.449951171875,411600,1.01,1.4782,0.7391
2020-08-20,1218.300048828125,252900,1.01,1.4782,0.7391
2020-08-21,1202.280029296875,291400,1.01,1.4782,0.7391
2020-08-24,1212.0899658203125,278900,1.01,1.4782,0.7391
2020-08-25,1224.0,274400,1.01,1.4782,0.7391
2020-08-26,1215.9300537109375,463600,1.01,1.4782,0.7391
2020-08-27,1201.4000244140625,253300,1.01,1.4782,0.7391
2020-08-28,1178.9000244140625,587200,1.01,1.4782,0.7391
2020-08-31,1168.5899658203125,705900,1.01,1.4782,0.7391
2020-09-01,1209.260009765625,671300,1.01,1.4782,0.7391
2020-09-02,1195.9599609375,717600,1.01,1.4782,0.7391
2020-09-03,1087.1199951171875,1097600,1.01,1.4782,0.7391
2020-09-04,1083.3800048828125,899700,1.01,1.4782,0.7391
2020-09-08,1022.530029296875,714200,1.01,1.4782,0.7391
2020-09-09,1057.3399658203125,667800,1.01,1.4782,0.7391
2020-09-10,1040.989990234375,689100,1.01,1.4782,0.7391
2020-09-11,1032.97998046875,405300,1.01,1.4782,0.7391
2020-09-14,1036.77001953125,449400,1.01,1.4782,0.7391
2020-09-15,1029.989990234375,451300,1.01,1.4782,0.7391
2020-09-16,1003.0,462900,1.01,1.4782,0.7391
2020-09-17,980.1500244140625,737900,1.01,1.4782,0.7391
2020-09-18,998.0599975585938,609700,1.01,1.4782,0.7391
2020-09-21,1011.989990234375,423600,1.01,1.4782,0.7391
2020-09-22,1060.969970703125,626800,1.01,1.4782,0.7391
2020-09-23,1020.9600219726562,547300,1.01,1.4782,0.7391
2020-09-24,1034.6300048828125,553700,1.01,1.4782,0.7391
2020-09-25,1062.0,419500,1.01,1.4782,0.7391
2020-09-28,1093.4300537109375,472400,1.01,1.4782,0.7391
2020-09-29,1082.8699951171875,235000,1.01,1.4782,0.7391
2020-09-30,1082.47998046875,347900,1.01,1.4782,0.7391
2020-10-01,1115.3399658203125,423900,1.01,1.4782,0.7391
2020-10-02,1079.3299560546875,405300,1.01,1.4782,0.7391
2020-10-05,1090.5799560546875,315100,1.01,1.4782,0.7391
2020-10-06,1091.3900146484375,412500,1.01,1.4782,0.7391
2020-10-07,1145.0,555600,1.01,1.4782,0.7391
2020-10-08,1160.3699951171875,448200,1.01,1.4782,0.7391
2020-10-09,1199.8399658203125,455200,1.01,1.4782,0.7391
2020-10-12,1215.75,542100,1.01,1.4782,0.7391
2020-10-13,1269.1700439453125,583400,1.01,1.4782,0.7391
2020-10-14,1238.699951171875,605400,1.01,1.4782,0.7391
2020-10-15,1257.8900146484375,468100,1.01,1.4782,0.7391
2020-10-16,1271.3800048828125,363800,1.01,1.997,0.49925
2020-10-19,1284.050048828125,645100,1.01,1.997,0.49925
2020-10-20,1333.6600341796875,741600,1.01,5.0884,0.8480666666666666
2020-10-21,1299.1300048828125,708200,1.01,0.4215,0.4215
2020-10-22,1294.3199462890625,377400,1.01,0.7964,0.2654666666666667
2020-10-23,1312.1600341796875,262100,1.01,0.7964,0.2654666666666667
2020-10-26,1281.43994140625,346400,1.01,0.592,0.296
2020-10-27,1282.469970703125,328200,1.01,1.5566,0.7783
2020-10-28,1273.5899658203125,325100,1.01,1.9308,0.32180000000000003
2020-10-29,1300.97998046875,394500,1.01,1.9308,0.32180000000000003
2020-10-30,1214.050048828125,620100,1.01,1.9308,0.32180000000000003
2020-11-02,1215.8599853515625,406600,1.01,2.356,0.47119999999999995
2020-11-03,1233.969970703125,334800,1.01,0.25,0.08333333333333333
2020-11-04,1315.68994140625,610100,0.2,3.7238000000000007,0.37238000000000004
2020-11-05,1437.800048828125,902200,0.2,6.133200000000001,0.43808571428571436
2020-11-06,1485.8599853515625,567700,0.2,1.0212,0.5106
2020-11-09,1330.719970703125,961700,0.2,5.546,0.69325
2020-11-10,1226.030029296875,1031200,0.2,0.12380000000000013,0.030950000000000033
2020-11-11,1304.489990234375,699700,0.2,3.8535999999999992,0.6422666666666665
2020-11-12,1296.0,631800,0.2,3.0812,0.7703
2020-11-13,1301.6600341796875,446100,0.2,1.6444,0.4111
2020-11-16,1286.31005859375,445800,0.2,1.8002,0.9001
2020-11-17,1300.81005859375,400000,0.2,1.8002,0.9001
2020-11-18,1318.0899658203125,498300,0.2,-1.077,-0.5385
2020-11-19,1370.300048828125,484900,0.2,-1.077,-0.5385
2020-11-20,1416.989990234375,615200,0.2,-1.077,-0.5385
2020-11-23,1451.77001953125,638800,0.2,0.2023,0.10115
2020-11-24,1439.280029296875,582400,0.2,0.9702,0.9702
2020-11-25,1480.3599853515625,489400,0.2,-0.3612,-0.3612
2020-11-27,1513.4300537109375,286800,0.2,0.6908,0.6908
2020-11-30,1553.3299560546875,722600,0.2,0.3182,0.3182
2020-12-01,1521.6600341796875,558100,0.2,0.3182,0.3182
2020-12-02,1522.8599853515625,468500,0.2,0.3182,0.3182
2020-12-03,1560.3399658203125,402700,0.2,0.7579,0.7579
2020-12-04,1557.3800048828125,290900,0.2,1.0452000000000001,0.26130000000000003
2020-12-07,1575.5999755859375,358800,0.2,0.0094,0.0094
2020-12-08,1615.8800048828125,401400,0.2,-0.25,-0.25
2020-12-09,1536.5400390625,858000,0.2,1.2066,0.6033
2020-12-10,1589.52001953125,447200,0.2,1.2066,0.6033
2020-12-11,1606.6300048828125,479200,0.2,1.2066,0.6033
2020-12-14,1618.06005859375,479700,0.2,1.2066,0.6033
2020-12-15,1668.989990234375,528400,0.2,-0.1027,-0.1027
2020-12-16,1669.5400390625,514400,0.2,-0.1027,-0.1027
2020-12-17,1679.989990234375,375700,0.2,0.8225,0.41125
2020-12-18,1723.6800537109375,531800,0.2,0.7351,0.7351
2020-12-21,1697.8900146484375,457100,0.2,-1.5131000000000001,-0.37827500000000003
2020-12-22,1732.3900146484375,309800,0.2,2.1169,0.7056333333333332
2020-12-23,1670.010009765625,419100,0.2,1.1492,0.38306666666666667
2020-12-24,1690.47998046875,132800,0.2,0.4939,0.24695
2020-12-28,1663.719970703125,285900,0.2,0.6059,0.6059
2020-12-29,1673.489990234375,278300,0.2,0.6059,0.6059
2020-12-30,1712.93994140625,304300,0.2,-0.3434000000000001,-0.05723333333333335
2020-12-31,1675.219970703125,254200,0.2,1.1698,0.5849
2021-01-04,1640.0,851000,0.2,1.094,0.3646666666666667
2021-01-05,1650.0,530400,0.2,0.0,0.0
2021-01-06,1571.97998046875,584700,0.2,0.5267,0.5267
2021-01-07,1597.969970703125,1170800,0.2,1.9067,0.95335
2021-01-08,1719.0,737300,0.2,-0.0017000000000000348,-0.0005666666666666783
2021-01-11,1761.550048828125,599700,0.2,-0.6249,-0.31245
2021-01-12,1810.0899658203125,616300,0.2,0.9062,0.9062
2021-01-13,1798.18994140625,506700,0.2,0.4939,0.24695
2021-01-14,1852.530029296875,547000,0.2,0.994,0.994
2021-01-15,1851.780029296875,534800,0.2,0.994,0.994
2021-01-19,1913.2099609375,707400,0.2,0.994,0.994
2021-01-20,1984.3399658203125,639400,0.2,0.994,0.994
2021-01-21,1940.18994140625,618400,0.2,0.994,0.994
2021-01-22,1965.050048828125,515800,0.2,0.0,0.0
2021-01-25,1880.0,587500,0.2,0.4926,0.4926
2021-01-26,1807.739990234375,713700,0.2,0.1429999999999999,0.047666666666666635
2021-01-27,1718.699951171875,1023100,0.2,0.4104,0.1368
2021-01-28,1844.72998046875,639900,0.2,0.4104,0.1368
2021-01-29,1779.510009765625,692200,0.2,0.4104,0.1368
