Date,Adj Close,Volume,Surprise_EPS,Total Sentiment,Avg Sentiment
2020-06-01,351.88006591796875,9746900.0,0.11,2.295,0.765
2020-06-02,352.6392517089844,9783000.0,0.11,2.295,0.765
2020-06-03,350.4115905761719,9136000.0,0.11,2.295,0.765
2020-06-04,350.4515686035156,10607000.0,0.11,2.295,0.765
2020-06-05,356.5879211425781,12043700.0,0.11,2.295,0.765
2020-06-08,351.9906921386719,9693400.0,0.11,2.295,0.765
2020-06-09,361.62493896484375,11712200.0,0.11,2.295,0.765
2020-06-10,374.44732666015625,15804500.0,0.11,0.7636,0.3818
2020-06-11,351.6408996582031,14591300.0,0.11,0.7636,0.3818
2020-06-12,357.0876159667969,14252900.0,0.11,0.7636,0.3818
2020-06-15,366.73193359375,10000100.0,0.11,0.7636,0.3818
2020-06-16,362.5244140625,13392900.0,0.11,0.7636,0.3818
2020-06-17,369.2204284667969,10188300.0,0.11,0.7636,0.3818
2020-06-18,368.5008544921875,6360200.0,0.11,0.7636,0.3818
2020-06-19,370.2298278808594,13104000.0,0.11,0.7636,0.3818
2020-06-22,380.843505859375,9961700.0,0.11,-0.9533999999999999,-0.23834999999999998
2020-06-23,377.77532958984375,9377700.0,0.11,1.6102,0.8051
2020-06-24,369.200439453125,11234300.0,0.11,1.6102,0.8051
2020-06-25,379.3743896484375,9401800.0,0.11,1.5812,0.7906
2020-06-26,365.98236083984375,14802100.0,0.11,1.5812,0.7906
2020-06-29,367.7812805175781,8556200.0,0.11,1.5812,0.7906
2020-06-30,379.6842041015625,9197300.0,0.11,1.5812,0.7906
2020-07-01,380.97344970703125,8166200.0,0.11,1.5812,0.7906
2020-07-02,384.261474609375,9101400.0,0.11,1.5812,0.7906
2020-07-06,393.3360900878906,7897300.0,0.11,1.5812,0.7906
2020-07-07,394.63531494140625,8945000.0,0.11,1.5812,0.7906
2020-07-08,408.3971252441406,9137000.0,0.11,1.5812,0.7906
2020-07-09,420.1101379394531,12363700.0,0.11,1.5812,0.7906
2020-07-10,418.9208984375,12441900.0,0.11,0.0,0.0
2020-07-13,401.85101318359375,11426900.0,0.11,0.0,0.0
2020-07-14,414.8332824707031,13566900.0,0.11,0.0,0.0
2020-07-15,408.84686279296875,10099600.0,0.11,0.68,0.34
2020-07-16,405.1490783691406,8624100.0,0.11,0.68,0.34
2020-07-17,407.8174743652344,6657100.0,0.11,0.68,0.34
2020-07-20,420.1800842285156,7121300.0,0.11,0.68,0.34
2020-07-21,412.89447021484375,6941700.0,0.11,0.68,0.34
2020-07-22,417.30181884765625,9182300.0,0.11,0.68,0.34
2020-07-23,404.9491882324219,10291500.0,0.11,0.68,0.34
2020-07-24,407.5376281738281,11832300.0,0.11,0.68,0.34
2020-07-27,416.6122131347656,7303300.0,0.11,0.68,0.34
2020-07-28,408.37713623046875,6790900.0,0.11,0.68,0.34
2020-07-29,418.3711853027344,7112700.0,0.11,0.68,0.34
2020-07-30,424.3076477050781,7722000.0,0.11,0.7636,0.3818
2020-07-31,424.337646484375,9657200.0,0.11,0.5,0.25
2020-08-03,440.14825439453125,10318000.0,0.11,0.5,0.25
2020-08-04,448.8430480957031,7758400.0,0.11,0.5,0.25
2020-08-05,451.20166015625,6262500.0,0.11,0.5,0.25
2020-08-06,453.1505126953125,6107900.0,0.11,0.5,0.25
2020-08-07,447.7137451171875,8555400.0,0.11,0.5,0.25
2020-08-10,446.3345642089844,10694900.0,0.11,0.5,0.25
2020-08-11,433.7420349121094,8862800.0,0.11,0.5,0.25
2020-08-12,457.3380126953125,11623600.0,0.11,0.5,0.25
2020-08-13,457.4479675292969,9361500.0,0.11,0.5,0.25
2020-08-14,462.28509521484375,9160900.0,0.11,0.5,0.25
2020-08-17,493.1867370605469,15532500.0,0.11,0.5,0.25
2020-08-18,490.13848876953125,12586200.0,0.11,0.5,0.25
2020-08-19,485.25140380859375,15565600.0,0.24,0.5,0.25
2020-08-20,485.35137939453125,23034700.0,0.24,0.5,0.25
2020-08-21,507.0384826660156,24996700.0,0.24,0.5,0.25
2020-08-24,508.507568359375,12264100.0,0.24,0.5,0.25
2020-08-25,509.6968994140625,7226900.0,0.24,0.5,0.25
