Date,Adj Close,Volume,Surprise_EPS,Total Sentiment,Avg Sentiment
2020-06-01,204.77999877929688,2552100,0.11,1.1534,0.3844666666666667
2020-06-02,199.72999572753906,2323600,0.11,2.5879999999999996,0.8626666666666666
2020-06-03,195.2100067138672,1631700,0.11,2.1924,0.43848000000000004
2020-06-04,186.2899932861328,2400700,0.11,-0.5,-0.25
2020-06-05,180.60000610351562,2354500,0.11,1.2738,0.6369
2020-06-08,185.1300048828125,1862500,0.11,1.1438,0.28595
2020-06-09,180.07000732421875,2993700,0.11,1.1438,0.28595
2020-06-10,181.4499969482422,4707300,0.11,1.6364,0.2727333333333333
2020-06-11,178.8699951171875,3226500,0.11,1.6364,0.2727333333333333
2020-06-12,179.24000549316406,1759100,0.11,1.864,0.932
2020-06-15,187.4499969482422,2640000,0.11,1.864,0.932
2020-06-16,188.10000610351562,2413900,0.11,0.843,0.4215
2020-06-17,194.32000732421875,2039100,0.11,0.0,0.0
2020-06-18,196.30999755859375,2128100,0.11,0.0,0.0
2020-06-19,198.19000244140625,2827600,0.11,0.1544,0.0772
2020-06-22,199.19000244140625,1860900,0.11,1.8772,0.9386
2020-06-23,195.6199951171875,1906700,0.11,0.0,0.0
2020-06-24,195.82000732421875,1742800,0.11,0.0,0.0
2020-06-25,204.22000122070312,2697300,0.11,1.8236,0.9118
2020-06-26,203.49000549316406,3429000,0.11,-0.048,-0.012
2020-06-29,199.83999633789062,1743500,0.11,0.6886,0.17215
2020-06-30,200.22999572753906,1711900,0.11,2.3996,0.5999
2020-07-01,210.9199981689453,2488900,0.11,0.0,0.0
2020-07-02,207.75999450683594,2061200,0.11,1.4404,0.18005
2020-07-06,207.25999450683594,2297000,0.11,1.4838,0.37095
2020-07-07,207.33999633789062,1724100,0.11,1.6242,0.8121
2020-07-08,219.77999877929688,2380100,0.11,1.6324,0.5441333333333334
2020-07-09,222.9499969482422,1791800,0.11,0.7845,0.2615
2020-07-10,218.72999572753906,1183800,0.11,0.7845,0.2615
2020-07-13,200.08999633789062,3601600,0.11,1.1123,0.55615
2020-07-14,206.75,3047500,0.11,0.0,0.0
2020-07-15,204.0500030517578,2396200,0.11,0.0,0.0
2020-07-16,202.52000427246094,1416200,0.11,0.0,0.0
2020-07-17,207.3800048828125,1198200,0.11,0.0,0.0
2020-07-20,213.24000549316406,1938200,0.11,0.0,0.0
2020-07-21,211.30999755859375,1172000,0.11,0.0,0.0
2020-07-22,210.82000732421875,752800,0.11,-0.4215,-0.4215
2020-07-23,206.77000427246094,1168000,0.11,-0.4215,-0.4215
2020-07-24,205.63999938964844,920300,0.11,-0.4215,-0.4215
2020-07-27,206.0,961900,0.11,0.0,0.0
2020-07-28,205.05999755859375,742900,0.11,0.0,0.0
2020-07-29,210.8800048828125,898700,0.11,0.886,0.886
2020-07-30,219.32000732421875,1662300,0.11,0.886,0.886
2020-07-31,220.97999572753906,1049500,0.11,0.886,0.886
2020-08-03,222.32000732421875,1236000,0.11,0.886,0.886
2020-08-04,219.38999938964844,1033000,0.11,0.886,0.886
2020-08-05,223.55999755859375,1276800,0.11,0.886,0.886
2020-08-06,217.30999755859375,1007100,0.11,0.886,0.886
2020-08-07,208.22999572753906,1736100,0.11,0.886,0.886
2020-08-10,199.66000366210938,2292100,0.11,0.886,0.886
2020-08-11,196.17999267578125,1462200,0.11,0.886,0.886
2020-08-12,198.82000732421875,1145200,0.11,0.886,0.886
2020-08-13,202.8300018310547,1067500,0.11,0.886,0.886
2020-08-14,198.86000061035156,1138700,0.11,0.886,0.886
2020-08-17,199.72999572753906,1808000,0.11,0.886,0.886
2020-08-18,205.67999267578125,1268000,0.11,0.886,0.886
2020-08-19,205.2899932861328,974200,0.11,0.886,0.886
2020-08-20,211.02999877929688,1013900,0.11,0.886,0.886
2020-08-21,208.38999938964844,1052300,0.11,0.886,0.886
2020-08-24,205.1199951171875,965100,0.11,0.886,0.886
2020-08-25,209.52999877929688,939600,0.11,0.886,0.886
2020-08-26,224.13999938964844,2072900,0.11,0.886,0.886
2020-08-27,218.44000244140625,2760700,0.09,0.886,0.886
2020-08-28,207.97999572753906,3950300,0.09,0.886,0.886
2020-08-31,215.3699951171875,1866300,0.09,0.886,0.886
2020-09-01,224.5,2580900,0.09,0.886,0.886
2020-09-02,230.60000610351562,2485700,0.09,0.886,0.886
2020-09-03,208.77999877929688,4145500,0.09,0.886,0.886
2020-09-04,203.44000244140625,2315200,0.09,0.886,0.886
2020-09-08,197.1300048828125,1307900,0.09,0.886,0.886
2020-09-09,200.49000549316406,1315400,0.09,0.886,0.886
2020-09-10,198.47999572753906,1115900,0.09,0.886,0.886
2020-09-11,193.66000366210938,1251400,0.09,0.886,0.886
2020-09-14,194.69000244140625,1031500,0.09,0.886,0.886
2020-09-15,193.4199981689453,1052700,0.09,0.886,0.886
2020-09-16,193.16000366210938,1274600,0.09,0.886,0.886
2020-09-17,194.89999389648438,1583800,0.09,0.886,0.886
2020-09-18,197.64999389648438,1958800,0.09,0.886,0.886
2020-09-21,206.47000122070312,1226900,0.09,0.886,0.886
2020-09-22,211.86000061035156,1332400,0.09,0.886,0.886
2020-09-23,207.72000122070312,891900,0.09,0.886,0.886
2020-09-24,204.52999877929688,783300,0.09,0.886,0.886
2020-09-25,216.1999969482422,1676800,0.09,0.886,0.886
2020-09-28,213.3300018310547,916800,0.09,0.886,0.886
2020-09-29,213.55999755859375,637000,0.09,0.886,0.886
2020-09-30,213.85000610351562,759000,0.09,0.886,0.886
2020-10-01,219.3000030517578,923900,0.09,0.886,0.886
2020-10-02,219.05999755859375,1133900,0.09,0.886,0.886
2020-10-05,227.25999450683594,1492000,0.09,0.886,0.886
2020-10-06,232.49000549316406,2025200,0.09,0.886,0.886
2020-10-07,236.60000610351562,1825400,0.09,0.886,0.886
2020-10-08,237.57000732421875,1593000,0.09,0.886,0.886
2020-10-09,236.4499969482422,1131300,0.09,0.886,0.886
2020-10-12,245.5500030517578,1624600,0.09,0.886,0.886
2020-10-13,246.9499969482422,1293600,0.09,0.886,0.886
2020-10-14,243.11000061035156,922300,0.09,0.886,0.886
2020-10-15,246.30999755859375,919800,0.09,0.9628,0.9628
2020-10-16,243.9499969482422,769700,0.09,0.669,0.3345
2020-10-19,242.08999633789062,728800,0.09,0.3415,0.3415
2020-10-20,231.67999267578125,1316800,0.09,0.3415,0.3415
2020-10-21,220.80999755859375,1397700,0.09,0.3612,0.3612
2020-10-22,216.5500030517578,1155300,0.09,0.0,0.0
2020-10-23,219.50999450683594,1969400,0.09,0.0,0.0
2020-10-26,219.1999969482422,1017400,0.09,0.0,0.0
2020-10-27,221.3300018310547,830500,0.09,0.0,0.0
2020-10-28,221.35000610351562,958200,0.09,0.26639999999999997,0.08879999999999999
2020-10-29,218.35000610351562,959000,0.09,0.26639999999999997,0.08879999999999999
2020-10-30,209.8300018310547,1001900,0.09,0.26639999999999997,0.08879999999999999
2020-11-02,203.86000061035156,1242100,0.09,0.7934,0.3967
