Date,Adj Close,Volume,Surprise_EPS,Total Sentiment,Avg Sentiment
2020-06-01,154.52999877929688,5658300,-0.09,2.166,0.5415
2020-06-02,157.49000549316406,6344400,-0.09,2.166,0.5415
2020-06-03,156.77999877929688,6732800,-0.09,2.166,0.5415
2020-06-04,154.60000610351562,7554500,-0.09,2.166,0.5415
2020-06-05,156.0,8446100,-0.09,2.166,0.5415
2020-06-08,156.08999633789062,5494400,-0.09,2.166,0.5415
2020-06-09,156.86000061035156,7265600,-0.09,2.166,0.5415
2020-06-10,159.91000366210938,5881800,-0.09,2.166,0.5415
2020-06-11,153.0399932861328,9041700,-0.09,0.8519,0.8519
2020-06-12,155.25999450683594,7038100,-0.09,0.8519,0.8519
2020-06-15,157.5500030517578,5115000,-0.09,0.8519,0.8519
2020-06-16,161.22000122070312,6537300,-0.09,0.8519,0.8519
2020-06-17,163.8300018310547,5582600,-0.09,-0.128,-0.128
2020-06-18,168.0500030517578,8583700,-0.09,-0.128,-0.128
2020-06-19,164.36000061035156,11332700,-0.09,0.7579,0.7579
2020-06-22,170.25999450683594,7793800,-0.09,0.7579,0.7579
2020-06-23,172.7899932861328,7693900,-0.09,0.7579,0.7579
2020-06-24,168.0,8931800,-0.09,0.7579,0.7579
2020-06-25,172.5,6650700,-0.09,0.9741,0.9741
2020-06-26,170.8699951171875,8158700,-0.09,0.9741,0.9741
2020-06-29,168.35000610351562,5423700,-0.09,0.9741,0.9741
2020-06-30,174.22999572753906,6831900,-0.09,0.9741,0.9741
2020-07-01,177.42999267578125,6869600,-0.09,0.9741,0.9741
2020-07-02,177.2100067138672,5943600,-0.09,0.9741,0.9741
2020-07-06,176.17999267578125,8348300,-0.09,0.9741,0.9741
2020-07-07,177.27999877929688,5529400,-0.09,0.9741,0.9741
2020-07-08,181.57000732421875,7233500,-0.09,0.9741,0.9741
2020-07-09,183.22999572753906,6340000,-0.09,0.9741,0.9741
2020-07-10,178.39999389648438,7583200,-0.09,0.9741,0.9741
2020-07-13,171.50999450683594,10234800,-0.09,0.9741,0.9741
2020-07-14,172.3000030517578,10624500,-0.09,0.9741,0.9741
2020-07-15,172.05999755859375,6659700,-0.09,0.9741,0.9741
2020-07-16,169.80999755859375,6630600,-0.09,0.9741,0.9741
2020-07-17,173.9199981689453,7354000,-0.09,0.9741,0.9741
2020-07-20,178.82000732421875,6025000,-0.09,0.9741,0.9741
2020-07-21,175.5800018310547,5698400,-0.09,0.9741,0.9741
2020-07-22,178.4199981689453,4669000,-0.09,0.9741,0.9741
2020-07-23,173.86000061035156,6999600,-0.09,0.9741,0.9741
2020-07-24,172.55999755859375,6256100,-0.09,0.9741,0.9741
2020-07-27,177.97999572753906,6868800,-0.09,0.9741,0.9741
2020-07-28,176.27000427246094,6125700,-0.09,0.9741,0.9741
2020-07-29,184.60000610351562,15436600,0.23,0.9201,0.46005
2020-07-30,192.50999450683594,16803600,0.23,0.25,0.25
2020-07-31,196.07000732421875,10863400,0.23,0.25,0.25
2020-08-03,197.07000732421875,7958700,0.23,0.25,0.25
2020-08-04,197.3300018310547,5771600,0.23,0.25,0.25
2020-08-05,202.91000366210938,7565800,0.23,0.25,0.25
2020-08-06,204.08999633789062,5821400,0.23,0.25,0.25
2020-08-07,198.6300048828125,6525300,0.23,0.25,0.25
2020-08-10,193.32000732421875,8792200,0.23,0.25,0.25
2020-08-11,189.02999877929688,9155300,0.23,0.25,0.25
2020-08-12,191.32000732421875,7936600,0.23,0.25,0.25
2020-08-13,193.07000732421875,10082400,0.23,0.25,0.25
2020-08-14,191.4600067138672,4848000,0.23,0.25,0.25
2020-08-17,196.2899932861328,6279300,0.23,0.25,0.25
2020-08-18,194.57000732421875,5362500,0.23,0.25,0.25
2020-08-19,192.44000244140625,6865300,0.23,0.25,0.25
2020-08-20,198.17999267578125,6773000,0.23,0.25,0.25
2020-08-21,196.7899932861328,6092500,0.23,0.25,0.25
2020-08-24,198.8800048828125,5404100,0.23,0.25,0.25
2020-08-25,201.6699981689453,5108200,0.23,0.25,0.25
2020-08-26,203.47999572753906,6072200,0.23,0.25,0.25
2020-08-27,204.33999633789062,6051900,0.23,0.25,0.25
2020-08-28,204.47999572753906,4580300,0.23,0.25,0.25
2020-08-31,204.13999938964844,5628700,0.23,0.25,0.25
2020-09-01,208.92999267578125,6234600,0.23,0.25,0.25
2020-09-02,210.82000732421875,7219500,0.23,0.25,0.25
2020-09-03,204.99000549316406,16006900,0.23,0.25,0.25
2020-09-04,191.83999633789062,17034100,0.23,0.25,0.25
2020-09-08,185.9499969482422,9282400,0.23,0.25,0.25
2020-09-09,194.60000610351562,8542000,0.23,0.25,0.25
2020-09-10,190.08999633789062,6580700,0.23,0.25,0.25
2020-09-11,184.0,8110400,0.23,0.25,0.25
2020-09-14,186.9600067138672,7053100,0.23,0.25,0.25
2020-09-15,186.02000427246094,7763400,0.23,0.25,0.25
2020-09-16,180.91000366210938,8170100,0.23,0.25,0.25
2020-09-17,175.7899932861328,11840100,0.23,0.25,0.25
2020-09-18,176.07000732421875,13557200,0.23,0.25,0.25
2020-09-21,183.2100067138672,13765600,0.23,0.25,0.25
2020-09-22,187.77999877929688,8939300,0.23,0.25,0.25
2020-09-23,181.61000061035156,6782400,0.23,0.25,0.25
2020-09-24,182.19000244140625,7374500,0.23,0.25,0.25
2020-09-25,187.25,7606500,0.23,0.25,0.25
2020-09-28,192.02000427246094,7590600,0.23,0.25,0.25
2020-09-29,194.5,6732600,0.23,0.25,0.25
2020-09-30,197.02999877929688,7939600,0.23,0.25,0.25
2020-10-01,196.94000244140625,7268900,0.23,0.25,0.25
2020-10-02,191.91000366210938,6546400,0.23,0.25,0.25
2020-10-05,196.85000610351562,5024100,0.23,0.25,0.25
2020-10-06,191.66000366210938,5921800,0.23,0.25,0.25
2020-10-07,194.61000061035156,4228700,0.23,0.25,0.25
2020-10-08,193.05999755859375,5582600,0.23,0.25,0.25
2020-10-09,197.27000427246094,7082400,0.23,0.25,0.25
2020-10-12,201.50999450683594,10603200,0.23,0.25,0.25
2020-10-13,207.74000549316406,8145300,0.23,0.25,0.25
2020-10-14,203.60000610351562,8588100,0.23,0.25,0.25
2020-10-15,203.13999938964844,7626700,0.23,0.25,0.25
2020-10-16,204.4499969482422,9662200,0.23,1.4226999999999999,0.35567499999999996
2020-10-19,200.05999755859375,6566700,0.23,2.7957,0.55914
2020-10-20,201.9600067138672,4867700,0.23,1.8210000000000002,0.45525000000000004
2020-10-21,213.07000732421875,17247200,0.23,6.921600000000001,0.23072
2020-10-22,203.92999267578125,12398300,0.23,8.924199999999999,0.4249619047619047
2020-10-23,203.0399932861328,6644700,0.23,10.899700000000003,0.4739000000000001
2020-10-26,197.22000122070312,7716000,0.23,4.5600000000000005,0.32571428571428573
2020-10-27,200.42999267578125,4754400,0.23,0.5749999999999998,0.05749999999999998
2020-10-28,192.30999755859375,8050000,0.23,1.1155,0.3718333333333333
2020-10-29,195.0399932861328,7627100,0.23,1.6831,0.84155
2020-10-30,186.1300048828125,12029700,0.23,4.942,0.8236666666666667
2020-11-02,187.75999450683594,14386000,0.13,3.2219,0.20136875
2020-11-03,179.80999755859375,31656000,0.13,9.900599999999999,0.3535928571428571
2020-11-04,194.2899932861328,16107000,0.13,4.753,0.9506
2020-11-05,204.55999755859375,15188500,0.13,5.0906,0.636325
2020-11-06,202.72999572753906,8075100,0.13,2.4307999999999996,0.4861599999999999
2020-11-09,184.72000122070312,18986400,0.13,0.35239999999999994,0.11746666666666665
2020-11-10,183.36000061035156,13144300,0.13,1.9552,0.4888
2020-11-11,192.33999633789062,9151700,0.13,3.9334,0.7866799999999999
2020-11-12,189.10000610351562,7096100,0.13,0.8432000000000001,0.14053333333333334
2020-11-13,188.6199951171875,6017200,0.13,3.7675,0.7535000000000001
2020-11-16,191.94000244140625,10127800,0.13,2.3195,0.7731666666666667
2020-11-17,192.3000030517578,6448800,0.13,1.9619,0.490475
