,High,Low,Open,Close,Volume,Adj Close,short-term stock,mid-term stock,long-term stock
2019-02-13,105.08999633789062,103.47000122070312,104.43000030517578,104.41999816894531,2417100.0,99.81949615478516,2.298406830383304,1.3113345997081371,2.7551868412381633
2019-02-14,105.04000091552734,103.61000061035156,104.2300033569336,104.48999786376953,2971500.0,99.88641357421875,0.7560543928375676,3.023033670447206,3.7829529268780027
2019-02-15,105.83000183105469,104.29000091552734,105.37000274658203,105.73999786376953,2289400.0,101.08133697509766,0.16078275888330026,-0.22905995524318828,-0.47619683788875683
2019-02-16,,,,,,,,,
2019-02-17,,,,,,,,,
2019-02-18,,,,,,,,,
2019-02-19,105.69999694824219,104.1500015258789,105.44000244140625,104.22000122070312,3722200.0,99.6283187866211,2.840146133360207,,-5.9685569908847755
2019-02-20,108.27999877929688,104.70999908447266,105.0999984741211,106.81999969482422,4811700.0,102.11375427246094,-0.8331805418516416,1.8861790877549096,-6.017802710558243
2019-02-21,106.80000305175781,104.91999816894531,106.33000183105469,105.27999877929688,3518500.0,100.64160919189453,2.1162968281284242,3.214232838514666,-3.1537232464707605
2019-02-22,106.33000183105469,105.19000244140625,106.08000183105469,105.91000366210938,2248000.0,101.24385833740234,2.913437478688207,4.242072578217342,-6.301704528970285
2019-02-23,,,,,,,,,
2019-02-24,,,,,,,,,
2019-02-25,108.22000122070312,106.61000061035156,106.80000305175781,107.9000015258789,3987500.0,103.14617919921875,1.2203415255034626,,
2019-02-26,107.86000061035156,106.80000305175781,107.36000061035156,107.18000030517578,2083400.0,102.4579086303711,1.4970553703850287,,
2019-02-27,106.62000274658203,104.97000122070312,106.33000183105469,105.93000030517578,2617100.0,101.2629623413086,1.328399511208651,6.025237142084991,-7.856517030885637
2019-02-28,107.22000122070312,104.94999694824219,104.94999694824219,106.95999908447266,3212300.0,102.771484375,-1.1967071067485129,3.300302053440772,-8.27410993414926
2019-03-01,108.79000091552734,106.75,107.83999633789062,108.44000244140625,2821400.0,104.19353485107422,-2.794164542275656,3.34747641385956,-9.071649365831298
2019-03-02,,,,,,,,,
2019-03-03,,,,,,,,,
2019-03-04,109.4800033569336,106.76000213623047,109.0,108.66000366210938,2518100.0,104.40491485595703,-0.9018922857664196,,
2019-03-05,109.04000091552734,107.95999908447266,108.61000061035156,108.2300033569336,2843100.0,103.99176025390625,-0.29566979946601746,,-10.744065768244061
2019-03-06,108.66000366210938,106.55999755859375,108.31999969482422,106.79000091552734,2028000.0,102.60813903808594,1.2079808735989908,5.758970110462788,-4.926658782097239
2019-03-07,106.76000213623047,105.22000122070312,106.76000213623047,105.68000030517578,2507000.0,101.54161071777344,2.4318703771854517,8.440573188806413,-4.9747010765886195
2019-03-08,105.68000030517578,104.12000274658203,104.75,105.41000366210938,4791700.0,101.28219604492188,3.7757151272366793,8.52859379025345,-4.635916735340777
2019-03-09,,,,,,,,,
2019-03-10,,,,,,,,,
2019-03-11,107.73999786376953,105.43000030517578,105.44999694824219,107.68000030517578,2884100.0,103.46329498291016,1.3651579907619866,,
2019-03-12,108.55000305175781,106.66000366210938,107.66999816894531,107.91000366210938,2392000.0,103.68428802490234,1.8904634084190801,,-0.7138354392647533
2019-03-13,109.05999755859375,107.69000244140625,108.41999816894531,108.08000183105469,1814100.0,103.84762573242188,0.49038622883740507,5.116579226002452,-2.1539040912121767
2019-03-14,108.38999938964844,107.12000274658203,108.38999938964844,108.25,1961300.0,104.01097106933594,1.7829114600930132,5.413394013874938,-3.0506803895216628
2019-03-15,110.6500015258789,108.3499984741211,108.9800033569336,109.38999938964844,4574400.0,105.1063232421875,-1.8191708544756227,7.221879932313703,-2.7649265822020346
2019-03-16,,,,,,,,,
2019-03-17,,,,,,,,,
2019-03-18,110.37000274658203,108.43000030517578,109.02999877929688,109.1500015258789,2745900.0,104.875732421875,-3.573056025662812,,
2019-03-19,110.37999725341797,109.29000091552734,109.91000366210938,109.94999694824219,1944900.0,105.64440155029297,-2.592080622672469,,-3.8820618699051774
2019-03-20,110.2699966430664,108.12000274658203,109.97000122070312,108.61000061035156,2640800.0,104.35688018798828,-3.3606601422037077,4.852216271581228,1.7847950745215126
2019-03-21,111.12000274658203,108.5,109.0,110.18000030517578,3724900.0,105.86539459228516,-5.545478596156282,5.50009804706533,1.3382973999186654
2019-03-22,109.98999786376953,107.31999969482422,109.79000091552734,107.4000015258789,2300200.0,103.19425964355469,-1.9832501816148276,6.797015321297442,5.384500732595695
2019-03-23,,,,,,,,,
2019-03-24,,,,,,,,,
2019-03-25,106.08999633789062,104.0,104.83999633789062,105.25,2690800.0,101.12846374511719,2.878852005000336,,
2019-03-26,107.13999938964844,105.72000122070312,106.02999877929688,107.0999984741211,3310000.0,102.90601348876953,0.943046302232257,,5.998911484696469
2019-03-27,107.47000122070312,103.77999877929688,106.95999908447266,104.95999908447266,2621100.0,100.84980010986328,4.649385694459732,9.498868449232651,5.6501055143194225
2019-03-28,105.63999938964844,103.30000305175781,105.05999755859375,104.06999969482422,2615200.0,99.9946517944336,6.216976783807788,9.234182217539558,7.123687263852842
2019-03-29,105.76000213623047,104.5999984741211,105.16999816894531,105.2699966430664,2777700.0,101.14765930175781,5.880132687405724,5.015686820551432,7.784297128309397
2019-03-30,,,,,,,,,
2019-03-31,,,,,,,,,
2019-04-01,108.62000274658203,106.26000213623047,106.5199966430664,108.27999877929688,3445800.0,104.03980255126953,3.1954053416862798,,
2019-04-02,108.48999786376953,107.41000366210938,108.12999725341797,108.11000061035156,1684200.0,103.87646484375,2.2014504862766113,,6.961846440944068
2019-04-03,111.05999755859375,109.16000366210938,109.62000274658203,109.83999633789062,2739500.0,105.5386962890625,2.0302435421878777,-5.107412850042738,3.913181709352478
2019-04-04,110.95999908447266,109.13999938964844,109.76000213623047,110.54000091552734,2435700.0,106.21129608154297,1.1579571401490676,-3.4286242970946663,2.9458398613867773
2019-04-05,111.80000305175781,110.55000305175781,111.08999633789062,111.45999908447266,2529000.0,107.09527587890625,2.4672455858693105,-3.202948281964085,
2019-04-06,,,,,,,,,
