,High,Low,Open,Close,Volume,Adj Close,short-term stock,mid-term stock,long-term stock
2019-02-13,1656.3800048828125,1637.1099853515625,1647.0,1640.0,3560300.0,1640.0,-1.0914649032964938,8.186585961318597,12.202438726657775
2019-02-14,1637.9000244140625,1606.06005859375,1624.5,1622.6500244140625,4120500.0,1622.6500244140625,-0.19782965886138373,9.9288190877598,15.314454519527901
2019-02-15,1628.9100341796875,1604.5,1627.8599853515625,1607.949951171875,4343900.0,1607.949951171875,1.4683359643543594,9.81062873785541,18.633664244264832
2019-02-16,,,,,,,,,
2019-02-17,,,,,,,,,
2019-02-18,,,,,,,,,
2019-02-19,1634.0,1600.56005859375,1601.0,1627.5799560546875,3681700.0,1627.5799560546875,0.5419130609567817,,14.21681397510788
2019-02-20,1634.9300537109375,1610.1199951171875,1630.0,1622.0999755859375,3337600.0,1622.0999755859375,1.1707040577147785,11.842054664412744,14.513288175118412
2019-02-21,1623.56005859375,1600.9100341796875,1619.8499755859375,1619.43994140625,3483400.0,1619.43994140625,1.259078161968249,12.012797393003043,14.834765165546901
2019-02-22,1634.93994140625,1621.1700439453125,1623.5,1631.56005859375,3096200.0,1631.56005859375,2.4620559729577263,11.592579236166497,11.272641843998162
2019-02-23,,,,,,,,,
2019-02-24,,,,,,,,,
2019-02-25,1654.5999755859375,1630.3900146484375,1641.449951171875,1633.0,3184500.0,1633.0,3.868343168727036,,
2019-02-26,1639.989990234375,1616.1300048828125,1625.97998046875,1636.4000244140625,2665800.0,1636.4000244140625,3.4239812063640978,,
2019-02-27,1641.81005859375,1615.0999755859375,1628.1800537109375,1641.0899658203125,3148800.0,1641.0899658203125,1.6976513129575106,12.721424411786868,11.903070030227296
2019-02-28,1651.77001953125,1633.8299560546875,1635.25,1639.8299560546875,3025900.0,1639.8299560546875,-0.8464295234736894,11.953069221714362,10.937718553641359
2019-03-01,1674.260009765625,1651.0,1655.1300048828125,1671.72998046875,4974900.0,1671.72998046875,-3.0465405439665765,10.504087241212218,8.649122017885313
2019-03-02,,,,,,,,,
2019-03-03,,,,,,,,,
2019-03-04,1709.4300537109375,1674.3599853515625,1685.0,1696.1700439453125,6167400.0,1696.1700439453125,-1.506337700004138,,
2019-03-05,1707.800048828125,1689.010009765625,1702.949951171875,1692.4300537109375,3681500.0,1692.4300537109375,-1.1421493067093411,,0.015355889878146073
2019-03-06,1697.75,1668.280029296875,1695.969970703125,1668.949951171875,3996000.0,1668.949951171875,1.30981204118947,10.54076210145115,3.6316312169407374
2019-03-07,1669.75,1620.510009765625,1667.3699951171875,1625.949951171875,4957000.0,1625.949951171875,3.7067573628457287,14.58163504477776,6.922110286789978
2019-03-08,1622.719970703125,1586.5699462890625,1604.010009765625,1620.800048828125,4667000.0,1620.800048828125,5.649058104954858,15.055521354245355,8.240370958774609
2019-03-09,,,,,,,,,
2019-03-10,,,,,,,,,
2019-03-11,1672.2900390625,1626.010009765625,1626.1199951171875,1670.6199951171875,3876400.0,1670.6199951171875,4.281645706739997,,
2019-03-12,1684.27001953125,1660.97998046875,1669.0,1673.0999755859375,3614500.0,1673.0999755859375,5.304524612697984,,11.20853696929856
2019-03-13,1700.0,1679.3499755859375,1683.0,1690.81005859375,3552000.0,1690.81005859375,6.296387958919699,11.621648392808204,10.225269934927987
2019-03-14,1702.0,1684.3399658203125,1691.199951171875,1686.219970703125,2946600.0,1686.219970703125,7.889838892551164,14.087725976170873,10.028346154352905
2019-03-15,1718.800048828125,1693.1300048828125,1703.0,1712.3599853515625,7550900.0,1712.3599853515625,3.0606901952878363,11.060175212489217,9.223531548720231
2019-03-16,,,,,,,,,
2019-03-17,,,,,,,,,
2019-03-18,1750.0,1712.6300048828125,1712.699951171875,1742.1500244140625,5429100.0,1742.1500244140625,1.8431240077823985,,
2019-03-19,1784.1600341796875,1753.510009765625,1753.510009765625,1761.8499755859375,6364200.0,1761.8499755859375,1.2435811495471338,,7.048276268224201
2019-03-20,1799.5,1767.030029296875,1769.93994140625,1797.27001953125,6265600.0,1797.27001953125,-1.756556778686425,7.854136142353488,5.792116624361656
2019-03-21,1823.75,1787.280029296875,1796.260009765625,1819.260009765625,5767800.0,1819.260009765625,-2.519703922157782,5.895804293496414,4.9212332935526435
2019-03-22,1818.97998046875,1763.1099853515625,1810.1700439453125,1764.77001953125,6363000.0,1764.77001953125,0.9054993167321896,8.315531110335785,8.693479613607142
2019-03-23,,,,,,,,,
2019-03-24,,,,,,,,,
2019-03-25,1782.6800537109375,1747.5,1757.7900390625,1774.260009765625,5103800.0,1774.260009765625,2.2505118427315307,,
2019-03-26,1805.77001953125,1773.3599853515625,1793.0,1783.760009765625,4865900.0,1783.760009765625,1.6941724524419468,,7.29582533165642
2019-03-27,1787.5,1745.6800537109375,1784.1300048828125,1765.699951171875,4324800.0,1765.699951171875,3.1149120190832607,10.468941653057593,6.375379253120754
2019-03-28,1777.9300537109375,1753.469970703125,1770.0,1773.4200439453125,3043000.0,1773.4200439453125,2.5622774232978753,8.321771063688196,7.015253522938723
2019-03-29,1792.8599853515625,1776.6300048828125,1786.5799560546875,1780.75,3320800.0,1780.75,3.1745067694440543,7.694511836655904,6.936966407237119
2019-03-30,,,,,,,,,
2019-03-31,,,,,,,,,
2019-04-01,1815.6700439453125,1798.72998046875,1800.1099853515625,1814.18994140625,4238800.0,1814.18994140625,1.966169204844298,,
2019-04-02,1820.0,1805.1199951171875,1811.02001953125,1813.97998046875,3448100.0,1813.97998046875,1.205084156767467,,5.965333802059795
2019-04-03,1830.0,1809.6199951171875,1826.719970703125,1820.699951171875,3926100.0,1820.699951171875,1.4626245728008267,0.10875501687073849,6.239913795172621
2019-04-04,1828.75,1804.199951171875,1820.6500244140625,1818.8599853515625,3623900.0,1818.8599853515625,1.386030873213544,1.1688645600455996,6.605237105439755
2019-04-05,1838.5799560546875,1825.18994140625,1829.0,1837.280029296875,3640500.0,1837.280029296875,0.31459707854588775,1.8434857276573953,
2019-04-06,,,,,,,,,
2019-04-07,,,,,,,,,
2019-04-08,1850.199951171875,1825.1099853515625,1833.22998046875,1849.8599853515625,3752800.0,1849.8599853515625,-0.26974961747857157,,
2019-04-09,1853.0899658203125,1831.780029296875,1845.489990234375,1835.8399658203125,3714400.0,1835.8399658203125,1.4816146150317429,,6.344778555722474
2019-04-10,1848.0,1828.81005859375,1841.0,1847.3299560546875,2964000.0,1847.3299560546875,0.9467713213360155,0.6300993826407109,7.6310186121003
2019-04-11,1849.949951171875,1840.31005859375,1848.699951171875,1844.0699462890625,2654800.0,1844.0699462890625,0.9554949448986639,0.7293689303517974,9.39986513198418
2019-04-12,1851.5,1841.300048828125,1848.4000244140625,1843.06005859375,3114400.0,1843.06005859375,,0.9017609078821074,8.57323595932482
2019-04-13,,,,,,,,,
2019-04-14,,,,,,,,,
2019-04-15,1846.8499755859375,1818.9000244140625,1842.0,1844.8699951171875,3724400.0,1844.8699951171875,2.300436539641736,,
2019-04-16,1869.77001953125,1848.0,1851.3499755859375,1863.0400390625,3044600.0,1863.0400390625,3.2597249224611358,,8.478076040242106
2019-04-17,1876.469970703125,1860.43994140625,1872.989990234375,1864.8199462890625,2893500.0,1864.8199462890625,1.9803549283364987,,7.779843754551486
2019-04-18,1870.8199462890625,1859.47998046875,1868.7900390625,1861.68994140625,2749900.0,1861.68994140625,2.178668836933849,-1.3568257062307667,7.001170548956774
