,High,Low,Open,Close,Volume,Adj Close,short-term stock,mid-term stock,long-term stock
2019-02-13,9.4399995803833,9.15999984741211,9.170000076293945,9.359999656677246,11685600.0,9.088550567626953,-1.4957236258079192,-0.2136718056469042,-1.3971405774332857
2019-02-14,9.380000114440918,9.25,9.319999694824219,9.34000015258789,5916600.0,9.069130897521973,-1.391866996898842,-0.42826919495549426,-0.3192118172727916
2019-02-15,9.420000076293945,9.289999961853027,9.40999984741211,9.350000381469727,4899100.0,9.078841209411621,1.6042681322352075,-1.4973337303982046,0.9812019195670523
2019-02-16,,,,,,,,,
2019-02-17,,,,,,,,,
2019-02-18,,,,,,,,,
2019-02-19,9.15999984741211,9.069999694824219,9.100000381469727,9.100000381469727,5169500.0,8.836091041564941,1.648352300672411,,6.424359328173803
2019-02-20,9.229999542236328,9.079999923706055,9.100000381469727,9.220000267028809,5205200.0,8.952610969543457,-0.43384319967002904,2.734297644749242,6.4660927044100065
2019-02-21,9.34000015258789,9.180000305175781,9.3100004196167,9.210000038146973,3095200.0,8.942900657653809,-1.5200946198755698,4.054499205582496,10.427434901113976
2019-02-22,9.520000457763672,9.3100004196167,9.329999923706055,9.5,6169400.0,9.22449016571045,-3.0526295003638637,2.1563845588648074,3.541206538607749
2019-02-23,,,,,,,,,
2019-02-24,,,,,,,,,
2019-02-25,9.449999809265137,9.149999618530273,9.4399995803833,9.180000305175781,10571500.0,8.91377067565918,0.7625311257391059,,
2019-02-26,9.329999923706055,9.229999542236328,9.289999961853027,9.25,7790400.0,8.981740951538086,0.8648616622697848,,
2019-02-27,9.289999961853027,9.109999656677246,9.279999732971191,9.180000305175781,7929200.0,8.91377067565918,0.653595050951313,6.7095292639186646,8.583567835120725
2019-02-28,9.210000038146973,9.069999694824219,9.180000305175781,9.069999694824219,6830100.0,8.806960105895996,0.0,7.3342510969686625,8.561569555571895
2019-03-01,9.260000228881836,9.199999809265137,9.229999542236328,9.210000038146973,4260600.0,8.942900657653809,0.0,6.80145939491609,6.361941072446036
2019-03-02,,,,,,,,,
2019-03-03,,,,,,,,,
2019-03-04,9.319999694824219,9.1899995803833,9.279999732971191,9.25,6488400.0,8.981740951538086,0.9729733517745415,,
2019-03-05,9.34000015258789,9.229999542236328,9.25,9.329999923706055,4115900.0,9.059420585632324,-0.21435885354278453,,3.4754388419337414
2019-03-06,9.350000381469727,9.210000038146973,9.329999923706055,9.239999771118164,4582800.0,8.972030639648438,1.1904837829150445,5.7975696056572295,6.235650290565672
2019-03-07,9.1899995803833,9.050000190734863,9.180000305175781,9.069999694824219,3165600.0,8.806960105895996,4.410159996456868,8.00369949777834,8.784726241604146
2019-03-08,9.229999542236328,9.140000343322754,9.149999618530273,9.210000038146973,5370800.0,8.942900657653809,4.560262531550889,14.163281989900941,7.57059246515339
2019-03-09,,,,,,,,,
2019-03-10,,,,,,,,,
2019-03-11,9.350000381469727,9.15999984741211,9.170000076293945,9.34000015258789,4476300.0,9.069130897521973,2.3554647988421893,,
2019-03-12,9.359999656677246,9.289999961853027,9.329999923706055,9.3100004196167,2742100.0,9.040000915527344,3.6519814902805403,,5.219488543671949
2019-03-13,9.40999984741211,9.300000190734863,9.329999923706055,9.350000381469727,4224500.0,9.078841209411621,5.0267257221879955,9.639821194755593,5.094048176153944
2019-03-14,9.489999771118164,9.40999984741211,9.4399995803833,9.470000267028809,2606800.0,9.195361137390137,3.590279437898743,7.929933878066196,4.082924403406542
2019-03-15,9.670000076293945,9.5600004196167,9.569999694824219,9.630000114440918,3255800.0,9.350720405578613,-3.5306382771706635,6.557051184703712,0.8824122450099394
2019-03-16,,,,,,,,,
2019-03-17,,,,,,,,,
2019-03-18,9.609999656677246,9.510000228881836,9.569999694824219,9.5600004196167,2923200.0,9.282751083374023,-2.301259442738453,,
2019-03-19,9.75,9.640000343322754,9.75,9.649999618530273,7270700.0,9.370140075683594,-3.6269412122006606,,0.14900302321434533
2019-03-20,9.880000114440918,9.720000267028809,9.819999694824219,9.819999694824219,6607100.0,9.535209655761719,-6.211808858864505,3.1556774329312156,-0.6572656883226823
2019-03-21,9.890000343322754,9.75,9.8100004196167,9.8100004196167,5548900.0,9.525500297546387,-5.610734494896033,2.126086443308016,1.0945103182141427
2019-03-22,9.550000190734863,9.279999732971191,9.520000457763672,9.289999961853027,11704900.0,9.020580291748047,-0.0005708991153601041,6.753197352212192,9.367566417768748
2019-03-23,,,,,,,,,
2019-03-24,,,,,,,,,
2019-03-25,9.430000305175781,9.289999961853027,9.40999984741211,9.34000015258789,5187600.0,9.069130897521973,1.4143703994869223,,
2019-03-26,9.34000015258789,9.260000228881836,9.329999923706055,9.300000190734863,4609400.0,9.030290603637695,3.047519755630669,,7.508924435729172
2019-03-27,9.369999885559082,9.130000114440918,9.34000015258789,9.210000038146973,5451800.0,8.942900657653809,5.3730328449168425,5.482915091543834,6.80145939491609
2019-03-28,9.199999809265137,9.079999923706055,9.140000343322754,9.149999618530273,5110200.0,8.991049766540527,3.8251345833741257,1.311472592913786,4.699442574030269
2019-03-29,9.199999809265137,9.119999885559082,9.170000076293945,9.180000305175781,3051500.0,9.020528793334961,3.7037080109232656,1.3071867093927185,4.466222138113971
2019-03-30,,,,,,,,,
2019-03-31,,,,,,,,,
2019-04-01,9.369999885559082,9.25,9.270000457763672,9.359999656677246,3888800.0,9.197402000427246,3.4187994307444654,,
2019-04-02,9.5,9.399999618530273,9.489999771118164,9.470000267028809,6174700.0,9.305490493774414,1.5839485344320285,,0.6335835131776393
2019-04-03,9.65999984741211,9.550000190734863,9.619999885559082,9.59000015258789,6438700.0,9.423405647277832,1.3555902411023324,-5.630858815420097,-0.7299145231676817
2019-04-04,9.609999656677246,9.449999809265137,9.600000381469727,9.5,4267900.0,9.334969520568848,2.6315878192865556,-4.0,1.8947379174892796
2019-04-05,9.569999694824219,9.5,9.550000190734863,9.520000457763672,2277400.0,9.354622840881348,3.571422381798491,-3.3613507060278014,
2019-04-06,,,,,,,,,
2019-04-07,,,,,,,,,
2019-04-08,9.720000267028809,9.609999656677246,9.65999984741211,9.680000305175781,4025700.0,9.511842727661133,-0.20660945729299202,,
2019-04-09,9.739999771118164,9.619999885559082,9.710000038146973,9.619999885559082,3702800.0,9.452884674072266,0.6237043571533205,,-2.1829551613245592
2019-04-10,9.739999771118164,9.649999618530273,9.65999984741211,9.720000267028809,3381400.0,9.551148414611816,6.892998126330179,-1.5432189677492147,-2.8806687498533465
2019-04-11,9.850000381469727,9.739999771118164,9.829999923706055,9.75,9354500.0,9.58062744140625,3.692299514553829,-0.5128301607323739,-2.46154296389733
2019-04-12,9.869999885559082,9.8100004196167,9.850000381469727,9.859999656677246,4121600.0,9.688715934753418,,1.9269825692674387,-3.9553790570365934
2019-04-13,,,,,,,,,
2019-04-14,,,,,,,,,
2019-04-15,9.770000457763672,9.640000343322754,9.75,9.65999984741211,7653100.0,9.49219036102295,4.865419781593671,,
2019-04-16,9.699999809265137,9.539999961853027,9.550000190734863,9.680000305175781,12541300.0,9.511842727661133,4.33884873404459,,-0.6198383980573277
2019-04-17,10.460000038146973,9.970000267028809,10.020000457763672,10.390000343322754,27218500.0,10.209508895874023,-2.406158510350713,,-7.699716574162347
2019-04-18,10.289999961853027,10.0600004196167,10.220000267028809,10.109999656677246,7918600.0,9.934372901916504,-1.978238341471516,-2.5717040840668735,-15.529178660346195
2019-04-19,,,,,,,,,
2019-04-20,,,,,,,,,
2019-04-21,,,,,,,,,
2019-04-22,10.1899995803833,10.0600004196167,10.170000076293945,10.130000114440918,4906400.0,9.954025268554688,-1.1845976911061138,,
2019-04-23,10.130000114440918,10.0,10.020000457763672,10.100000381469727,5112500.0,9.92454719543457,-1.9802064873568246,,-12.970303004561895
2019-04-24,10.15999984741211,10.09000015258789,10.119999885559082,10.140000343322754,5261300.0,9.963851928710938,-3.3530611447937257,-5.917156591744756,-12.91912905384607
2019-04-25,9.9399995803833,9.8100004196167,9.899999618530273,9.90999984741211,5314700.0,9.737847328186035,-2.7245172866218197,-2.1190744415291425,-12.512612780513477
2019-04-26,10.079999923706055,9.9399995803833,9.979999542236328,10.039999961853027,5513600.0,9.865589141845703,-3.9840615883118318,-2.888440784856576,-11.454186733070271
2019-04-27,,,,,,,,,
2019-04-28,,,,,,,,,
2019-04-29,10.029999732971191,9.930000305175781,9.970000267028809,10.010000228881836,2395900.0,9.83611011505127,-4.095905829690761,,
2019-04-30,10.010000228881836,9.890000343322754,10.010000228881836,9.899999618530273,3736400.0,9.728020668029785,-6.363635205055718,,-9.19191860767767
2019-05-01,9.989999771118164,9.779999732971191,9.970000267028809,9.800000190734863,6114300.0,9.62975788116455,-5.1020382899466625,-1.224487208905383,-9.69386284748958
2019-05-02,9.710000038146973,9.59000015258789,9.640000343322754,9.640000343322754,8065100.0,9.472537994384766,-4.564318820023929,0.726138655886893,-9.647309546792828
2019-05-03,9.6899995803833,9.609999656677246,9.649999618530273,9.640000343322754,5286300.0,9.472537994384766,-3.423236598072866,1.0373438134899395,-8.506227324841763
2019-05-04,,,,,,,,,
2019-05-05,,,,,,,,,
2019-05-06,9.619999885559082,9.380000114440918,9.40999984741211,9.600000381469727,4537400.0,9.433232307434082,-5.729163770650261,,
2019-05-07,9.420000076293945,9.220000267028809,9.380000114440918,9.270000457763672,5903700.0,9.108964920043945,-1.618122164171651,,-9.061479931511911
2019-05-08,9.359999656677246,9.270000457763672,9.300000190734863,9.300000190734863,3367700.0,9.138443946838379,-1.0752682561370888,2.6881810761928726,-8.924728613107865
2019-05-09,9.239999771118164,9.079999923706055,9.180000305175781,9.199999809265137,5476300.0,9.040181159973145,1.413044842787724,4.782612502567432,-7.173913479209524
2019-05-10,9.319999694824219,9.119999885559082,9.180000305175781,9.3100004196167,6005700.0,9.148270606994629,0.6444616960660638,5.263150762088126,-6.337274438145761
2019-05-11,,,,,,,,,
2019-05-12,,,,,,,,,
2019-05-13,9.109999656677246,9.0,9.069999694824219,9.050000190734863,5315200.0,8.892786979675293,5.7458511277981,,
2019-05-14,9.15999984741211,9.09000015258789,9.100000381469727,9.119999885559082,4214300.0,8.961570739746094,6.359648002615334,,-5.5921066633975
2019-05-15,9.229999542236328,9.09000015258789,9.100000381469727,9.199999809265137,3441800.0,9.040181159973145,9.239136110755659,7.391302559034581,-5.217390662217541
2019-05-16,9.449999809265137,9.279999732971191,9.279999732971191,9.329999923706055,11946100.0,9.167922973632812,4.180068288980725,4.180068288980725,-10.932467890198376
