,High,Low,Open,Close,Volume,Adj Close,short-term stock,mid-term stock,long-term stock
2019-02-13,1142.8499755859375,1126.0,1133.0400390625,1128.6300048828125,1402100.0,1128.6300048828125,-0.712371550261488,6.091455986688784,-0.3340350260882394
2019-02-14,1136.1300048828125,1117.0899658203125,1125.0,1129.199951171875,1055300.0,1129.199951171875,-2.213070431719429,5.37017510366572,3.6840328954210224
2019-02-15,1139.300048828125,1116.719970703125,1139.300048828125,1119.6300048828125,1391300.0,1119.6300048828125,-0.27419292763450187,5.214222969035464,5.793877873429911
2019-02-16,,,,,,,,,
2019-02-17,,,,,,,,,
2019-02-18,,,,,,,,,
2019-02-19,1129.6400146484375,1116.6400146484375,1116.6400146484375,1126.510009765625,1099000.0,1126.510009765625,-0.39946382730644736,,1.6111729373659702
2019-02-20,1130.9300537109375,1111.75,1128.8800048828125,1120.5899658203125,1204500.0,1120.5899658203125,0.2052533842243787,6.99542357503203,3.0207280645385834
2019-02-21,1119.1500244140625,1097.97998046875,1118.780029296875,1104.2099609375,1663600.0,1104.2099609375,2.0231739144662075,9.176703861552598,4.676648144397641
2019-02-22,1117.25,1100.5,1109.699951171875,1116.56005859375,1471800.0,1116.56005859375,2.862359323308764,8.441104378989074,2.5775512033637775
2019-02-23,,,,,,,,,
2019-02-24,,,,,,,,,
2019-02-25,1125.4000244140625,1114.1099853515625,1121.9300537109375,1117.3299560546875,1310400.0,1117.3299560546875,3.2300295624454356,,
2019-02-26,1126.43994140625,1106.699951171875,1114.3699951171875,1122.010009765625,1751300.0,1122.010009765625,4.204947480858958,,
2019-02-27,1125.72998046875,1108.56005859375,1114.010009765625,1122.8900146484375,1104600.0,1122.8900146484375,3.7447947892721976,7.604486061368354,1.4845660508016607
2019-02-28,1133.989990234375,1118.4100341796875,1119.0,1126.550048828125,1371100.0,1126.550048828125,2.1570214996741686,6.758678201410427,-0.5867566584148707
2019-03-01,1150.0,1131.0,1131.0,1148.52001953125,1704300.0,1148.52001953125,0.12624518051211456,5.043876524178322,-2.3604277583796063
2019-03-02,,,,,,,,,
2019-03-03,,,,,,,,,
2019-03-04,1165.52001953125,1138.25,1154.56005859375,1153.4200439453125,1774500.0,1153.4200439453125,2.2402910332584494,,
2019-03-05,1176.489990234375,1153.02001953125,1156.0,1169.18994140625,2004700.0,1169.18994140625,2.3999572353488263,,-11.157293314974602
2019-03-06,1174.739990234375,1163.050048828125,1171.760009765625,1164.93994140625,1180100.0,1164.93994140625,2.928916416610466,5.2869753797158765,-9.481171281546585
2019-03-07,1163.5799560546875,1141.7099609375,1160.5,1150.8499755859375,1504300.0,1150.8499755859375,3.621675682768012,7.043494835413236,-9.228827665693336
2019-03-08,1153.449951171875,1130.199951171875,1133.9000244140625,1149.969970703125,1184700.0,1149.969970703125,3.5070548929500323,7.841078136169062,-8.888054778944
2019-03-09,,,,,,,,,
2019-03-10,,,,,,,,,
2019-03-11,1179.9100341796875,1151.5699462890625,1152.0,1179.260009765625,1501600.0,1179.260009765625,0.7877854744134308,,
2019-03-12,1205.7099609375,1182.300048828125,1182.300048828125,1197.25,2111000.0,1197.25,0.43516065462518266,,-9.56274714841303
2019-03-13,1207.1199951171875,1197.9100341796875,1205.9300537109375,1199.06005859375,1294400.0,1199.06005859375,2.282620867989453,4.561902531890417,-9.842711270831849
2019-03-14,1204.699951171875,1191.22998046875,1199.02001953125,1192.530029296875,1365100.0,1192.530029296875,3.656090372134644,6.54574179314061,-9.511714667497031
2019-03-15,1201.719970703125,1187.010009765625,1198.0,1190.300048828125,2594300.0,1190.300048828125,1.4576136162490214,5.859867019972848,-8.341597495543505
2019-03-16,,,,,,,,,
2019-03-17,,,,,,,,,
2019-03-18,1194.949951171875,1181.47998046875,1189.68994140625,1188.550048828125,1222100.0,1188.550048828125,0.7429183199641929,,
2019-03-19,1203.4100341796875,1189.4599609375,1191.719970703125,1202.4599609375,1489400.0,1202.4599609375,-1.0495147886128615,,-9.028986395889287
2019-03-20,1229.989990234375,1199.5899658203125,1201.4000244140625,1226.4300537109375,2075400.0,1226.4300537109375,-3.948047734055678,5.688860709979133,-9.881530798259963
2019-03-21,1236.43994140625,1216.5799560546875,1220.0,1236.1300048828125,1407500.0,1236.1300048828125,-5.166122098752594,-3.0069688300168957,-10.647746968140728
2019-03-22,1233.6300048828125,1206.0,1228.8499755859375,1207.6500244140625,1721100.0,1207.6500244140625,-2.5470963560448228,-2.8427174620939164,-7.820980526871894
2019-03-23,,,,,,,,,
2019-03-24,,,,,,,,,
2019-03-25,1209.43994140625,1190.0,1199.56005859375,1197.3800048828125,1378800.0,1197.3800048828125,0.13362304192594976,,
2019-03-26,1207.6500244140625,1181.760009765625,1205.18994140625,1189.8399658203125,1537600.0,1189.8399658203125,1.3195113370866967,,-6.147046388546254
2019-03-27,1191.9200439453125,1164.22998046875,1191.9200439453125,1178.010009765625,1471400.0,1178.010009765625,2.7843607911829924,1.3115297021074463,-7.676509788650209
2019-03-28,1177.25,1163.4300537109375,1175.5,1172.27001953125,1120100.0,1172.27001953125,4.024664186113931,0.5621542571691459,-7.84376224847541
2019-03-29,1183.969970703125,1166.3800048828125,1180.1800537109375,1176.8900146484375,1544500.0,1176.8900146484375,2.936547688677714,-0.5191636665714837,-8.519063677804661
2019-03-30,,,,,,,,,
2019-03-31,,,,,,,,,
2019-04-01,1200.199951171875,1186.3599853515625,1187.5400390625,1198.97998046875,1385300.0,1198.97998046875,0.7756633955213396,,
2019-04-02,1205.81005859375,1191.239990234375,1200.050048828125,1205.5400390625,914400.0,1205.5400390625,-0.23641667334968042,,-8.754585965023132
2019-04-03,1220.5999755859375,1205.0799560546875,1212.699951171875,1210.81005859375,1109000.0,1210.81005859375,-0.3600983813215826,-6.129788255941452,-8.111105644585983
2019-04-04,1220.550048828125,1209.0400390625,1211.2900390625,1219.449951171875,1051100.0,1219.449951171875,-0.8085600677655682,-7.7567731032678156,-7.910120529735827
2019-04-05,1220.3900146484375,1210.030029296875,1219.300048828125,1211.449951171875,1000600.0,1211.449951171875,0.9311180611269546,-3.3554751729056593,
2019-04-06,,,,,,,,,
2019-04-07,,,,,,,,,
2019-04-08,1213.949951171875,1204.699951171875,1211.1099853515625,1208.280029296875,1087500.0,1208.280029296875,1.5104114574019798,,
2019-04-09,1207.1500244140625,1198.3800048828125,1201.8900146484375,1202.68994140625,983400.0,1202.68994140625,2.429561582536542,,-7.142314854925219
